page,sl_no,ministry,sector,project_name,agency,project_code,legacy_ocms_code,pmgid,state,date_of_approval,start_date,original_target_doc,revised_doc,original_cost_crore,revised_cost_crore,cumulative_expenditure_crore,physical_progress_pct
55,11,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Construction of New Domestic Terminal Building and Miscellaneous works at Hubli Airport,Airport Authority of India [AAI],612787,-,-,Karnataka,06/2023,01/2024,01/2026,09/2026,320.47,320.47,169.11,88.5
55,12,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Construction of New Domestic Terminal Building and Miscellaneous Works at Belagavi Airport.,Airport Authority of India [AAI],612788,-,-,Karnataka,06/2023,02/2024,02/2026,08/2026,322.45,322.45,240.99,97.0
55,13,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,"Development of additional RESA on either end on Runway 10-28 at Calicut Airport. Construction of embankment with slope protection, drainage system and associated works for additional RESA on either end on Runway 10-28",Airport Authority of India [AAI],612789,-,-,Kerala,06/2023,02/2024,09/2025,12/2026,484.57,484.57,242.51,65.8
55,14,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",Airport Authority of India [AAI],400010,-,-,Ladakh,07/2018,09/2018,09/2021,07/2026,480.0,640.0,512.55,88.0
55,15,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,C/o NITB Imphal Airport,Airport Authority of India [AAI],706718,-,-,Manipur,11/2021,07/2022,07/2024,12/2026,499.0,499.0,212.17,53.14
55,16,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,"SITC of ATM Automation System and ASMGCS [Including SMR & MLAT] for Mumbai, Navi Mumbai, Jewar [earlier MOPA, without ASMGCS], HIAL & BIAL",Airport Authority of India [AAI],611570,-,-,"Multi-States
(Karnataka,
Maharashtra,
Telangana, Uttar
Pradesh)",12/2020,10/2022,09/2025,08/2026,500.48,500.48,399.77,80.0
55,17,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,"Development of New Greenfield Airport at Bundi, Kota Rajasthan.",Airport Authority of India [AAI],618977,-,-,Rajasthan,08/2025,10/2025,10/2027,11/2027,1507.0,1507.0,81.41,13.6
55,18,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Construction of New Passenger Terminal Building for Domestic Operations at Jodhpur Airport.,Airport Authority of India [AAI],701127,-,-,Rajasthan,06/2022,05/2023,03/2026,06/2026,480.0,480.0,348.2,100.0
55,19,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Construction of New Integrated Passenger Terminal Building at Udaipur Airport,Airport Authority of India [AAI],701128,-,-,Rajasthan,06/2023,11/2023,03/2026,09/2026,887.0,887.0,587.22,78.71
56,20,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,"Widening of basic strip at Western Side of Runway Chainage 80m to 920m i/c slope stabilization Measures [Balance work] of uphill and Improvement of Storm Water Drainage System at Pakyong Airport, Sikkim on design & build basis [EPC] with integrated 10 years maintenance.",Airport Authority of India [AAI],612793,-,-,Sikkim,11/2023,12/2023,06/2026,06/2027,323.26,323.26,87.61,36.14
56,21,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,"Modernization of Chennai Airport, Phase II, Part 2",Airport Authority of India [AAI],611602,-,-,Tamil Nadu,05/2018,06/2023,07/2025,12/2026,1207.0,1207.0,331.85,46.0
56,22,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,"Development of Lal Bahadur Shastri International airport, Varanasi including C/o New Terminal Building, Apron Extension, Runway Extension, PTT and allied works.",Airport Authority of India [AAI],701113,-,-,Uttar Pradesh,07/2024,07/2024,07/2027,07/2027,2869.65,2869.65,746.93,33.0
56,23,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Development of New Integrated Civil Enclave at Agra Airport,Airport Authority of India [AAI],701122,-,-,Uttar Pradesh,06/2024,07/2024,07/2026,11/2026,579.0,579.0,224.58,44.94
56,24,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Development of New Civil Enclave at Bagdogra Airport,Airport Authority of India [AAI],611495,-,-,West Bengal,08/2024,09/2024,03/2027,03/2027,1549.0,1549.0,548.3,27.9
56,25,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,"Re-Construction of Rigid portions of Secondary Runway, K and A Taxiway and Strengthening of C Taxiway at NSCBI Airport Kolkata.",Airport Authority of India [AAI],612791,-,-,West Bengal,03/2023,12/2023,10/2025,08/2026,328.3,328.3,153.52,73.5
56,26,Ministry of Coal,Coal,TIKAK EXTENSION OCP,INVALID CO.,615820,-,-,Assam,07/2022,07/2022,07/2031,-,159.77,159.77,112.69,89.73
56,27,Ministry of Coal,Coal,TIRAP OCP,INVALID CO.,615821,-,-,Assam,11/2022,11/2022,11/2030,-,289.46,289.46,105.66,5.0
56,28,Ministry of Coal,Coal,PORDA CHIMTAPANI OCP [10 MTY],SECL - CIL,400144,-,-,Chhattisgarh,12/2020,12/2020,03/2029,-,2310.12,2310.12,118.97,11.81
56,29,Ministry of Coal,Coal,BAROUD OC EXPANSION [3.0-10.0M,SECL - CIL,400149,-,-,Chhattisgarh,08/2020,08/2020,03/2029,-,2309.8,2309.8,1039.65,55.95
56,30,Ministry of Coal,Coal,DIPKA EXPANSION OCP [40 MTY],SECL - CIL,400354,-,-,Chhattisgarh,12/2020,12/2020,03/2029,-,5241.4,5241.4,2941.23,39.34
56,31,Ministry of Coal,Coal,GEVRA OC [70 MTY],SECL - CIL,400424,-,-,Chhattisgarh,03/2016,03/2016,03/2023,03/2027,11816.4,11816.4,7825.46,78.48
56,32,Ministry of Coal,Coal,AMERA OC RCE [1.0 MTY],SECL - CIL,613798,-,-,Chhattisgarh,02/2015,02/2015,03/2026,-,335.97,335.97,91.91,42.47
56,33,Ministry of Coal,Coal,AMGAON OC RCE [1.0 MTY],SECL - CIL,613799,-,-,Chhattisgarh,07/2015,07/2015,03/2026,-,316.11,316.11,193.0,78.86
56,34,Ministry of Coal,Coal,JAGANNATHPUR OC RCE PROJECT,SECL - CIL,613800,-,-,Chhattisgarh,07/2016,07/2016,03/2025,03/2027,459.49,459.49,290.4,96.15
56,35,Ministry of Coal,Coal,MAHAMAYA OCP [1.50 MTY],SECL - CIL,613801,-,-,Chhattisgarh,05/2018,05/2018,03/2026,03/2028,410.26,410.26,188.72,54.6
56,36,Ministry of Coal,Coal,KATKONA RO UG MINE,SECL - CIL,615191,-,-,Chhattisgarh,01/2023,01/2023,03/2029,-,329.21,329.21,62.01,2.01
56,37,Ministry of Coal,Coal,PELMA OC MDO,SECL - CIL,616234,-,-,Chhattisgarh,10/2022,10/2022,03/2033,-,1725.04,1725.04,16.71,23.75
56,38,Ministry of Coal,Coal,KUSMUNDA OC EXPANSION PROJECT,SECL - CIL,617287,-,-,Chhattisgarh,11/2024,11/2024,03/2030,-,4516.88,4516.88,847.19,23.75
56,39,Ministry of Coal,Coal,MANIKPUR OC EXPANSION PROJECT,SECL - CIL,617288,-,-,Chhattisgarh,01/2025,01/2025,03/2029,-,382.61,382.61,138.87,21.29
56,40,Ministry of Coal,Coal,RPR FOR DURGAPUR OCP 10 MTY,SECL - CIL,619171,-,-,Chhattisgarh,09/2025,09/2025,03/2032,-,2415.91,2415.91,2.99,0.01
57,41,Ministry of Coal,Coal,MADANNAGAR OCP 12 MTY - MDO,SECL - CIL,619172,-,-,Chhattisgarh,12/2024,12/2024,03/2033,-,1859.19,1859.19,0.45,0.0
57,42,Ministry of Coal,Coal,HURA C OCP,Eastern Coal Fields Limited [ECL],400018,-,-,Jharkhand,08/2022,08/2022,03/2029,-,859.41,859.41,455.95,63.3
57,43,Ministry of Coal,Coal,KONAR EXPANSION OCP,CCL - CIL,400073,-,-,Jharkhand,01/2022,01/2022,03/2032,-,674.65,674.65,175.59,50.78
57,44,Ministry of Coal,Coal,KARO EXPANSION OCP,CCL - CIL,400074,-,-,Jharkhand,01/2022,01/2022,03/2029,-,849.31,849.31,237.61,23.28
57,45,Ministry of Coal,Coal,SANGHMITRA OC,CCL - CIL,400136,-,-,Jharkhand,03/2024,03/2024,03/2032,-,2660.0,2660.0,17.03,16.77
57,46,Ministry of Coal,Coal,CHANDRAGUPT OCP,CCL - CIL,400138,-,-,Jharkhand,08/2020,08/2020,03/2032,-,973.5,973.5,772.12,25.11
57,47,Ministry of Coal,Coal,KOTRE BASANTPUR PACHMO OCP,Ministry of Coal,400139,-,-,Jharkhand,08/2020,08/2020,03/2032,-,625.4,625.4,456.48,45.78
57,48,Ministry of Coal,Coal,Pachwara South Coal Block,NLC India Limited,400142,-,-,Jharkhand,03/2016,11/2019,09/2028,-,2242.9,2242.9,1432.45,87.0
57,49,Ministry of Coal,Coal,RPR MAGADH EXP OCP,Ministry of Coal,400150,-,-,Jharkhand,08/2020,08/2020,03/2028,-,6964.33,6964.33,2299.77,39.42
57,50,Ministry of Coal,Coal,NORTH URIMARI EXPANSION OCP,Ministry of Coal,400151,-,-,Jharkhand,07/2021,07/2021,03/2029,-,634.3,634.3,598.34,68.9
57,51,Ministry of Coal,Coal,EPR ROHINI - KARKETTA OCP,Ministry of Coal,400153,-,-,Jharkhand,01/2021,01/2021,03/2028,-,995.57,995.57,85.34,24.02
57,52,Ministry of Coal,Coal,EPR PUNDI OCP,Ministry of Coal,400154,-,-,Jharkhand,11/2020,11/2020,03/2027,-,639.6,639.6,14.78,11.24
57,53,Ministry of Coal,Coal,EPR ASHOK OC,Ministry of Coal,400155,-,-,Jharkhand,05/2021,05/2021,03/2031,-,2821.07,2821.07,186.02,27.74
57,54,Ministry of Coal,Coal,EPR AMRAPALI OCP,CCL - CIL,400156,-,-,Jharkhand,02/2020,02/2020,03/2028,-,4983.57,4983.57,1838.82,43.69
57,55,Ministry of Coal,Coal,RAJRAPPA RCE OCP,CCL - CIL,400160,-,-,Jharkhand,12/2009,12/2009,03/2016,03/2027,510.85,510.85,488.71,75.61
57,56,Ministry of Coal,Coal,CHITRA EAST OC,ECL - CIL,400172,-,-,Jharkhand,08/2018,08/2018,03/2026,03/2028,513.99,513.99,276.0,53.03
57,57,Ministry of Coal,Coal,JHARKHAND-LAIYO OCP,Ministry of Coal,400352,-,-,Jharkhand,08/2020,08/2020,03/2031,-,654.87,654.87,1.97,32.45
57,58,Ministry of Coal,Coal,MOONIDIH XV SEAM UG,BCCL - CIL,400425,-,-,Jharkhand,08/2011,08/2011,03/2019,09/2026,1230.27,1230.27,800.25,84.02
57,59,Ministry of Coal,Coal,AMALAGAMATED NTST KUJAMA OCP 8.5MTY,Bharat Coking Coal Limited (BCCL),611864,-,-,Jharkhand,01/2023,01/2023,03/2030,-,4011.85,4011.85,414.97,31.16
57,60,Ministry of Coal,Coal,MURAIDIH UG PROJECT,BCCL - CIL,613808,-,-,Jharkhand,02/2011,02/2011,04/2014,12/2026,339.87,339.87,191.14,70.47
57,61,Ministry of Coal,Coal,TAPIN SOUTH EXPN,CCL - CIL,615349,-,-,Jharkhand,11/2020,11/2020,03/2028,-,230.41,230.41,22.02,23.67
57,62,Ministry of Coal,Coal,SIRKA OC,CCL - CIL,615822,-,-,Jharkhand,05/2020,05/2020,03/2028,-,183.18,183.18,89.92,56.47
57,63,Ministry of Coal,Coal,TETARIAKHAR OC,CCL - CIL,615843,-,-,Jharkhand,11/2019,11/2019,03/2025,03/2027,232.64,232.64,50.82,30.06
58,64,Ministry of Coal,Coal,CHUPERBHITA SIMLONG OCP MDO 6,ECL - CIL,616225,-,-,Jharkhand,12/2023,12/2023,03/2037,-,979.08,979.08,0.0,0.05
58,65,Ministry of Coal,Coal,JARANGDIH EXPN. OCP 1.5 MTY,CCL - CIL,616236,-,-,Jharkhand,02/2020,02/2020,03/2029,-,372.06,372.06,85.6,32.99
58,66,Ministry of Coal,Coal,BLOCK E OCP,BCCL - CIL,616253,-,-,Jharkhand,03/2024,03/2024,03/2029,-,5850.83,5850.83,20.32,4.18
58,67,Ministry of Coal,Coal,"Revised Jharia Master Plan for Dealing with Fire, Subsidence & Rehabilitation of affected families in Jharia Coalfield- Reg.",Bharat Coking Coal Limited [BCCL],617416,-,-,Jharkhand,06/2025,07/2025,12/2028,-,5940.47,5940.47,520.75,34.0
58,68,Ministry of Coal,Coal,North Dhadu Western Part OCP,NLC India Limited [NLCIL],617764,-,-,Jharkhand,10/2023,12/2023,03/2029,-,1354.2,1354.2,233.77,40.0
58,69,Ministry of Coal,Coal,AMADAND OCP[4.0MTY],SECL - CIL,400148,-,-,Madhya Pradesh,03/2016,03/2016,03/2021,03/2027,869.44,869.44,325.09,75.15
58,70,Ministry of Coal,Coal,BLOCK B EXPANSION [3.5 TO 8.0,NCL - CIL,400162,-,-,Madhya Pradesh,07/2019,07/2019,03/2023,03/2027,998.71,998.71,545.34,51.31
58,71,Ministry of Coal,Coal,NIGAHI EXPANSION [15 TO 25 MTP,NCL - CIL,400321,-,-,Madhya Pradesh,11/2020,11/2020,03/2025,03/2028,1729.68,1729.68,985.35,53.73
58,72,Ministry of Coal,Coal,KANCHAN OC EXP,SECL - CIL,613802,-,-,Madhya Pradesh,12/2014,12/2014,03/2026,03/2028,371.04,371.04,157.9,58.2
58,73,Ministry of Coal,Coal,JHIRIA WEST OCP [1.5 MTY],SECL - CIL,613803,-,-,Madhya Pradesh,01/2024,01/2024,03/2029,-,366.94,366.94,37.19,41.29
58,74,Ministry of Coal,Coal,RPR TAWA-III UG 0.84 MTY,WCL - CIL,613804,-,-,Madhya Pradesh,12/2021,12/2021,03/2027,-,314.09,314.09,17.9,17.78
58,75,Ministry of Coal,Coal,AMALGAMATED DHANKASA & JAMUNIA,WCL - CIL,615185,-,-,Madhya Pradesh,09/2022,09/2022,03/2027,-,399.2,399.2,117.2,67.13
58,76,Ministry of Coal,Coal,RPR OF VISHNUPURI UG TO OC,WCL - CIL,615187,-,-,Madhya Pradesh,11/2022,11/2022,03/2029,-,220.62,220.62,0.0,11.2
58,77,Ministry of Coal,Coal,URDHAN EXPANSION OC COST PLUS,WCL - CIL,615194,-,-,Madhya Pradesh,07/2022,01/2023,03/2031,-,206.88,206.88,50.69,2.02
58,78,Ministry of Coal,Coal,SHARDA UG MINE,WCL - CIL,615195,-,-,Madhya Pradesh,07/2022,09/2023,03/2028,-,166.25,166.25,5.93,9.39
58,79,Ministry of Coal,Coal,GANDHIGRAM UG MINE,WCL - CIL,615206,-,-,Madhya Pradesh,08/2019,08/2019,03/2026,03/2027,414.15,414.15,28.54,56.88
58,80,Ministry of Coal,Coal,JAYANT EXPN. [20 TO 38 MTPA],NCL - CIL,619032,-,-,Madhya Pradesh,02/2025,02/2025,03/2032,-,25560.48,25560.48,333.3,2.1
58,81,Ministry of Coal,Coal,RPR FOR RAMPUR BATURA OCP,SECL - CIL,619053,-,-,Madhya Pradesh,05/2025,05/2025,03/2030,-,1604.69,1604.69,75.28,0.3
58,82,Ministry of Coal,Coal,BHATADI EXPANSION OC,WCL - CIL,400033,-,-,Maharashtra,02/2020,05/2022,03/2028,-,580.61,580.61,112.17,34.25
58,83,Ministry of Coal,Coal,AMALGAMATED YEKONA I & YEKONA,WCL - CIL,400177,-,-,Maharashtra,08/2015,08/2015,03/2025,03/2027,727.28,727.28,564.25,80.77
58,84,Ministry of Coal,Coal,DINESH[MAKARDHOKRA-III] OC,WCL - CIL,400178,-,-,Maharashtra,02/2020,02/2020,03/2027,-,822.88,822.88,792.0,40.63
58,85,Ministry of Coal,Coal,DHUPTALA OC [SASTI UG TO OC ],WCL - CIL,400353,-,-,Maharashtra,02/2019,10/2021,03/2028,-,711.01,711.01,174.66,19.02
59,86,Ministry of Coal,Coal,SAONER UG MINE -1 EXPANSION 1.,WCL - CIL,615184,-,-,Maharashtra,01/2022,01/2022,03/2028,-,228.64,228.64,157.01,69.33
59,87,Ministry of Coal,Coal,SASTI EXPANSION OPENCAST,WCL - CIL,615186,-,-,Maharashtra,08/2020,08/2020,03/2026,03/2027,319.04,319.04,155.37,32.21
59,88,Ministry of Coal,Coal,NEW MAJRI UG TO OC 3 MTY COST,WCL - CIL,615188,-,-,Maharashtra,05/2019,09/2022,03/2027,-,402.27,402.27,67.81,24.17
59,89,Ministry of Coal,Coal,MAKARDHOKRA EXPN OC 4.9 MTY,WCL - CIL,615189,-,-,Maharashtra,06/2022,06/2022,03/2026,03/2027,361.87,361.87,104.17,12.2
59,90,Ministry of Coal,Coal,SINGHORI DEEP OC MIN 2.0 MTY,WCL - CIL,615190,-,-,Maharashtra,05/2022,05/2022,03/2029,-,335.75,335.75,53.94,9.64
59,91,Ministry of Coal,Coal,GOKUL EXTENSION OC MINE,WCL - CIL,615192,-,-,Maharashtra,04/2021,04/2021,03/2026,03/2027,309.58,309.58,62.31,8.44
59,92,Ministry of Coal,Coal,KOLGAON EXPANSION DEEP OC MINE,WCL - CIL,615199,-,-,Maharashtra,01/2023,09/2023,03/2027,-,198.71,198.71,25.08,3.93
59,93,Ministry of Coal,Coal,BALLARPUR NORTH WEST OC MINE,WCL - CIL,615330,-,-,Maharashtra,12/2022,12/2022,03/2029,-,360.81,360.81,26.97,5.35
59,94,Ministry of Coal,Coal,GADEGAON OC 3 MTY,WCL - CIL,615331,-,-,Maharashtra,10/2023,10/2023,03/2030,-,497.41,497.41,95.69,2.19
59,95,Ministry of Coal,Coal,GHONSA EXPANSION DEEP OC MINE,WCL - CIL,615914,-,-,Maharashtra,03/2021,04/2021,03/2029,-,184.71,184.71,15.72,12.98
59,96,Ministry of Coal,Coal,AMLG GAURI PAUNI EXPANSION OC,WCL - CIL,615916,-,-,Maharashtra,04/2024,04/2024,03/2030,-,1225.21,1225.21,92.02,4.21
59,97,Ministry of Coal,Coal,GAURIDEEP/GAURI CENTRAL OCP 7.,WCL - CIL,615917,-,-,Maharashtra,08/2023,06/2024,03/2030,-,973.07,973.07,1.55,2.31
59,98,Ministry of Coal,Coal,RPR OF BHANEGAON OC,WCL - CIL,615918,-,-,Maharashtra,02/2017,09/2022,03/2028,-,405.2,405.2,43.16,16.06
59,99,Ministry of Coal,Coal,N. EXTN. MUNGOLI NIRGUDA D OCP,WCL - CIL,615919,-,-,Maharashtra,06/2024,06/2024,03/2029,-,1024.91,1024.91,218.26,27.92
59,100,Ministry of Coal,Coal,NILJAI EXPANSION DEEP OCP,WCL - CIL,615982,-,-,Maharashtra,08/2016,08/2016,03/2022,03/2027,319.75,319.75,196.82,79.83
59,101,Ministry of Coal,Coal,UKNI DEEP OC MINE -COST PLUS,WCL - CIL,616044,-,-,Maharashtra,11/2018,01/2019,03/2021,03/2027,237.06,237.06,168.91,94.57
59,102,Ministry of Coal,Coal,AMALGAMATED INDER-KAMPTEE DEEP,WCL - CIL,616050,-,-,Maharashtra,09/2018,09/2018,03/2024,03/2027,235.9,235.9,128.49,98.97
59,103,Ministry of Coal,Coal,ADASA UG TO OC MINE,WCL - CIL,616223,-,-,Maharashtra,11/2018,11/2018,03/2024,03/2027,316.0,316.0,209.29,86.49
59,104,Ministry of Coal,Coal,AMAL GONDEGAON GHATROHANA EXPN,WCL - CIL,616229,-,-,Maharashtra,09/2024,09/2024,03/2029,-,668.54,668.54,2.95,2.55
59,105,Ministry of Coal,Coal,WAGHODA UG MINE [1.02 MTY],WCL - CIL,617233,-,-,Maharashtra,01/2024,01/2025,03/2030,-,379.3,379.3,0.0,0.11
59,106,Ministry of Coal,Coal,KOLARPIMPRI EXPANSION OC [2.5,WCL - CIL,617278,-,-,Maharashtra,06/2024,02/2025,03/2030,-,630.37,630.37,0.61,0.4
59,107,Ministry of Coal,Coal,SAONER-III EXPN UG MINE 1.54,WCL - CIL,619055,-,-,Maharashtra,08/2025,08/2025,03/2032,-,444.42,444.42,0.0,0.0
59,108,Ministry of Coal,Coal,BINA KAKRI AMALGAMATION EXPANS,NCL - CIL,400369,-,-,"Multi-States
(Madhya Pradesh,
Uttar Pradesh)",08/2020,08/2020,03/2024,03/2027,836.42,836.42,917.1,92.05
60,109,Ministry of Coal,Coal,KHADIA EXPANSION [10 TO 16 MTP,NCL - CIL,615183,-,-,"Multi-States
(Madhya Pradesh,
Uttar Pradesh)",06/2021,06/2021,03/2025,03/2027,491.67,491.67,379.69,57.12
60,110,Ministry of Coal,Coal,SUBHADRA OCP,MCL - CIL,400165,-,-,Odisha,05/2021,05/2021,04/2032,-,1693.81,1693.81,1332.87,46.57
60,111,Ministry of Coal,Coal,SIARMAL OCP,Mahanadi Coalfields Limited [MCL],400166,-,-,Odisha,02/2021,02/2021,03/2029,-,5194.95,5194.95,3543.45,61.04
60,112,Ministry of Coal,Coal,BALARAM EXPANSION OCP,Mahanadi Coalfields Limited [MCL],400183,-,-,Odisha,08/2020,08/2020,03/2029,-,3504.21,3504.21,963.81,62.06
60,113,Ministry of Coal,Coal,GOPALJI KANIHA OCP [10 TO 30 M,MCL - CIL,400185,-,-,Odisha,04/2022,04/2022,03/2030,-,8416.19,6107.87,1777.54,35.8
60,114,Ministry of Coal,Coal,INTEGRATED LAKHANPUR-BELPAHAR-,MCL - CIL,400187,-,-,Odisha,05/2018,05/2018,03/2027,-,2434.75,2434.75,2133.7,82.9
60,115,Ministry of Coal,Coal,BHARATPUR RE-ORGANIZATION OCP,MCL - CIL,400392,-,-,Odisha,11/2018,11/2018,03/2029,-,2838.86,2838.86,1716.58,53.54
60,116,Ministry of Coal,Coal,Naini Coal Mine,Singareni Collieries Company Limited [SCCL],615857,-,-,Odisha,03/2020,03/2020,03/2026,-,494.3,494.3,491.33,80.0
60,117,Ministry of Coal,Coal,INTEGRATED KULDA GARJANBAHAL O,MCL - CIL,616226,-,-,Odisha,04/2023,04/2023,03/2033,-,3563.5,3563.5,692.76,10.43
60,118,Ministry of Coal,Coal,BHUBANESWARI EXPN OCP 50 MTY,MCL - CIL,616231,-,-,Odisha,03/2024,03/2024,03/2033,-,5366.27,5366.27,477.73,34.03
60,119,Ministry of Coal,Coal,HINGULA II OC EXPN PH III 15 M,MCL - CIL,616232,-,-,Odisha,11/2022,11/2022,03/2029,-,1561.85,1561.85,284.22,33.55
60,120,Ministry of Coal,Coal,BALABHADRA OCP,MCL - CIL,616233,-,-,Odisha,04/2023,04/2023,03/2030,-,978.44,978.44,461.54,18.93
60,121,Ministry of Coal,Coal,Talabira II & III OCP - FMC,NLC India Limited [NLCIL],618982,-,-,Odisha,10/2022,05/2023,06/2026,12/2026,522.45,522.45,334.44,74.8
60,122,Ministry of Coal,Coal,Jawahar Khani Open Cast Mine,Singareni Collieries Company Limited [SCCL],615818,-,-,Telangana,12/2021,12/2021,03/2025,03/2027,297.88,297.88,50.39,20.0
60,123,Ministry of Coal,Coal,Kalyanikhani Opencast Project,Singareni Collieries Company Limited [SCCL],615858,-,-,Telangana,03/2016,05/2017,03/2026,-,384.32,384.32,304.39,77.0
60,124,Ministry of Coal,Coal,Godavarikhani Coal Mine - 5,Singareni Collieries Company Limited [SCCL],615860,-,-,Telangana,07/2019,05/2019,03/2025,03/2026,607.04,607.04,201.0,71.0
60,125,Ministry of Coal,Coal,Indaram Opencast Project,Singareni Collieries Company Limited [SCCL],615861,-,-,Telangana,08/2017,12/2022,03/2025,03/2026,424.81,424.81,408.69,81.0
60,126,Ministry of Coal,Coal,Goleti Opencast Mine,Singareni Collieries Company Limited [SCCL],615862,-,-,Telangana,07/2021,08/2021,03/2026,-,345.6,345.6,111.94,33.0
60,127,Ministry of Coal,Coal,Venkatesh Khani Coal Mine,Singareni Collieries Company Limited [SCCL],615863,-,-,Telangana,10/2020,06/2020,03/2026,-,484.5,484.5,477.14,97.0
60,128,Ministry of Coal,Coal,Kakatiyakhani OC - 2 Project,Singareni Collieries Company Limited [SCCL],615865,-,-,Telangana,08/2017,09/2017,03/2025,03/2026,442.42,442.42,253.41,64.0
60,129,Ministry of Coal,Coal,MOHANPUR EXPANSION OC -PHASE I,Eastern Coal Fields Limited [ECL],400173,-,-,West Bengal,11/2020,11/2020,03/2026,03/2030,888.99,888.99,153.96,31.52
60,130,Ministry of Coal,Coal,BONJEMEHARI EXPANSION OCP,Eastern Coal Fields Limited [ECL],400180,-,-,West Bengal,08/2021,08/2021,03/2026,03/2030,570.11,570.11,98.58,17.13
60,131,Ministry of Coal,Coal,NAKRAKONDA KUMARDIH- B OCP,ECL - CIL,400181,-,-,West Bengal,08/2018,08/2018,03/2029,-,502.68,502.67,88.9,28.58
61,132,Ministry of Coal,Coal,TILABONI UG,ECL - CIL,400186,-,-,West Bengal,01/2023,01/2023,03/2029,-,749.08,749.07,53.97,12.14
61,133,Ministry of Coal,Coal,JHANJRA EXPANSION UG,Eastern Coal Fields Limited [ECL],400312,-,-,West Bengal,04/2020,04/2020,03/2029,-,1210.12,1210.12,633.57,52.04
61,134,Ministry of Coal,Coal,SONEPUR BAZARI EXPANSION OCP [,Eastern Coal Fields Limited [ECL],400315,-,-,West Bengal,07/2021,07/2021,03/2029,-,5365.88,5365.88,697.64,18.5
