report_month,ministry,sector,project_count,original_cost,revised_cost,expenditure
February_2026,136.51,Real Estate,4,33749.85,33740.8,13033.9
February_2026,33749.85 33740.8 13033.9,Urban Public Transport,28,335215.64,355797,208407
February_2026,Ministry of Labour and Employment,Healthcare,13,3234.03,3466.61,1845.4
February_2026,Ministry of Mines,Construction,1,255.37,255.37,96.26
February_2026,255.37 255.37 96.26,Metals & Mining,6,8344.36,10724.5,7100.6
February_2026,Ministry of Petroleum & Natural Gas,Energy Storage,17,81207.16,120038,98707.5
February_2026,98707.5,Oil & Gas,96,367211.08,395613,191971
February_2026,"Ministry of Ports, Shipping and Waterways",Healthcare,1,693,693,58
February_2026,5546.18 5258.15 4190.19,Shipping,9,15124.41,15290.9,9338.98
February_2026,15124.41 15290.9 9338.98,"Tourism, Hospitality & Wellness",1,573,1238.05,545.51
February_2026,Ministry of Power,Coal,2,2083,2365,1007.16
February_2026,1007.16,Electricity Generation,30,258786.76,313027,131207
February_2026,Ministry of Railways,Railways,245,690121.29,839704,561724
February_2026,Ministry of Steel,Metals & Mining,1,1700,1756.2,183.71
February_2026,1756.2 183.71,Steel,19,18161.41,21399.7,9471.99
September_2025,Department for Promotion of Industry & Internal Trade,Real Estate,2,3841.25,3841.25,587.67
September_2025,Department of Higher Education,Education,29,12467.21,12401.2,7891.19
September_2025,Department of Telecommunications,Telecommunication,15,152734.45,274827,72372.8
September_2025,"Department of Water Resources, River Development & GR",Waste & Water,8,4039.12,4039.12,1643.05
September_2025,4039.12 4039.12 1643.05,Water Resources,39,93740.23,193594,137306
September_2025,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,26,23049.84,23511,24583.3
September_2025,Ministry of Coal,Coal,118,172747.29,170203,55557.5
September_2025,55557.5,Electricity Generation,5,46865.63,51408.8,24531
September_2025,Ministry of Health & Family Welfare,Healthcare,3,4155,4492.95,2736.65
September_2025,Ministry of Housing & Urban Affairs,Construction,2,1290.53,1290.52,627.64
September_2025,1290.53 1290.52 627.64,Inland Waterways,1,63246,63246,27456.4
September_2025,27456.4,Real Estate,4,33749.85,33749.8,58.58
September_2025,33749.85 33749.8 58.58,Urban Public Transport,22,235216.87,255798,167263
September_2025,Ministry of Mines,Construction,1,255.37,255.37,83.03
September_2025,255.37 255.37 83.03,Metals & Mining,9,12736.35,15116.5,6257.96
September_2025,Ministry of Petroleum & Natural Gas,Energy Storage,16,81301.48,120224,91358.6
September_2025,91358.6,Oil & Gas,88,349335.78,378387,182742
September_2025,"Ministry of Ports, Shipping and Waterways",Healthcare,1,693,693,58
September_2025,5546.18 5258.15 3671.92,Logistics Infrastructure,1,171,211.61,137.51
September_2025,211.61 137.51,Oil & Gas,1,100,225.85,166.48
September_2025,225.85 166.48,Shipping,7,16499.18,16499.2,9272.35
September_2025,16499.18 16499.2 9272.35,"Tourism, Hospitality & Wellness",1,573,1238.05,496.63
September_2025,Ministry of Power,Coal,2,2083,2365,911.38
September_2025,911.38,Electricity Generation,30,223418.07,278228,136109
September_2025,Ministry of Railways,Railways,248,813211.77,961590,531351
September_2025,Ministry of Steel,Metals & Mining,1,1700,1756.2,124.9
September_2025,1756.2 124.9,Steel,20,19266.64,22504.9,8277.97
December_2025,Department for Promotion of Industry & Internal Trade,Real Estate,2,3841.25,3841.25,752.38
December_2025,Department of Higher Education,Education,28,14512.44,14255,7689.22
December_2025,Department of Sports,Education,1,906.47,611.74,565.17
December_2025,906.47 611.74 565.17,Total,1,906.47,565.17,4
December_2025,Department of Telecommunications,Telecommunication,14,151923.46,274016,77210.7
December_2025,"Department of Water Resources, River Development & GR",Waste & Water,8,4039.12,4039.12,1643.05
December_2025,4039.12 4039.12 1643.05,Water Resources,39,93740.23,193594,140622
December_2025,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,25,21237.66,22451.7,9260.93
December_2025,Ministry of Coal,Coal,113,156284.68,153741,47277.8
December_2025,47277.8,Electricity Generation,8,51903.57,56446.7,26675.7
December_2025,51903.57 56446.7 26675.7,Railways,2,3485.86,4250.56,1974
December_2025,Ministry of Health & Family Welfare,Healthcare,8,12677.19,14452.9,4077.54
December_2025,Ministry of Housing & Urban Affairs,Construction,1,644,644,116.18
December_2025,116.18,Real Estate,4,33749.85,33749.8,58.58
December_2025,33749.85 33749.8 58.58,Urban Public Transport,25,311946.96,332528,203575
December_2025,Ministry of Labour and Employment,Healthcare,13,3234.03,3466.61,1862.5
December_2025,Ministry of Mines,Construction,1,255.37,255.37,93.39
December_2025,255.37 255.37 93.39,Metals & Mining,6,8344.36,10724.5,6765.91
December_2025,Ministry of Petroleum & Natural Gas,Energy Storage,18,81884.05,120754,95874.3
December_2025,95874.3,Oil & Gas,93,353462.93,381881,191901
December_2025,"Ministry of Ports, Shipping and Waterways",Healthcare,1,693,693,58
December_2025,5546.18 5258.15 4100.49,Shipping,9,15124.41,15290.9,9130.93
December_2025,15124.41 15290.9 9130.93,"Tourism, Hospitality & Wellness",1,573,1238.05,545.51
December_2025,Ministry of Power,Coal,2,2083,2365,987.47
December_2025,987.47,Electricity Generation,29,228838.76,283079,123930
December_2025,Ministry of Railways,Railways,249,702266.73,852603,686201
December_2025,Ministry of Road Transport & Highways,Roads & Highways,584,527441.16,537799,185964
December_2025,Ministry of Steel,Metals & Mining,1,1700,1756.2,155.07
December_2025,1756.2 155.07,Steel,19,18161.41,21399.7,8617.56
October_2025,Department for Promotion of Industry & Internal Trade,Real Estate,2,3841.25,3841.25,590.15
October_2025,Department of Higher Education,Education,29,12467.21,12401.2,7908.95
October_2025,Department of Sports,Education,1,906.47,611.74,553.38
October_2025,906.47 611.74 553.38,Total,1,906.47,553.38,4
October_2025,Department of Telecommunications,Telecommunication,15,152734.45,274827,77354.9
October_2025,"Department of Water Resources, River Development & GR",Waste & Water,8,4039.12,4039.12,1643.05
October_2025,4039.12 4039.12 1643.05,Water Resources,39,93740.23,193594,138530
October_2025,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,26,23049.84,23511,24797.1
October_2025,Ministry of Coal,Coal,116,157554.96,155011,48288.1
October_2025,48288.1,Electricity Generation,6,50201.48,54744.6,25385.2
October_2025,50201.48 54744.6 25385.2,Railways,2,3485.86,4250.56,1815.47
October_2025,Ministry of Health & Family Welfare,Healthcare,3,4155,4492.95,2477.91
October_2025,Ministry of Housing & Urban Affairs,Construction,2,1290.53,1290.52,633.46
October_2025,1290.53 1290.52 633.46,Inland Waterways,1,63246,63246,28779
October_2025,33749.85 33749.8 58.58,Urban Public Transport,22,235216.87,255798,168648
October_2025,Ministry of Labour and Employment,Healthcare,15,3576.21,3818.61,3422.37
October_2025,Ministry of Mines,Construction,1,255.37,255.37,85.9
October_2025,255.37 255.37 85.9,Metals & Mining,9,12736.35,15116.5,6356.85
October_2025,Ministry of Petroleum & Natural Gas,Energy Storage,16,81301.48,120224,93188.6
October_2025,93188.6,Oil & Gas,86,348775.78,377915,185369
October_2025,"Ministry of Ports, Shipping and Waterways",Healthcare,1,693,693,58
October_2025,5546.18 5258.15 3710.31,Shipping,10,16923.41,17089.9,10375
October_2025,Ministry of Power,Coal,2,2083,2365,911.94
October_2025,911.94,Electricity Generation,30,223418.07,278208,136137
October_2025,Ministry of Railways,Railways,257,839222.35,988283,536735
October_2025,Ministry of Steel,Metals & Mining,1,1700,1756.2,133.22
October_2025,1756.2 133.22,Steel,20,19266.64,22504.9,8653.34
January_2026,Department for Promotion of Industry & Internal Trade,Logistics Infrastructure,1,763,763,430
January_2026,Department of Higher Education,Education,29,14711.41,14454,7786.65
January_2026,Department of Sports,Education,1,906.47,611.74,569.37
January_2026,906.47 611.74 569.37,Total,1,906.47,569.37,4
January_2026,Department of Telecommunications,Telecommunication,14,151923.46,274016,77232.3
January_2026,"Department of Water Resources, River Development & GR",Waste & Water,8,4039.12,4039.12,1643.05
January_2026,4039.12 4039.12 1643.05,Water Resources,39,93740.23,193594,140376
January_2026,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,26,21600.76,22814.8,9677.27
January_2026,Ministry of Coal,Coal,116,183894.27,181350,47547.4
January_2026,47547.4,Electricity Generation,8,51903.57,56446.7,27270.8
January_2026,51903.57 56446.7 27270.8,Railways,2,3485.86,5002.87,2199.39
January_2026,Ministry of Health & Family Welfare,Healthcare,23,17252.19,21471,7780.69
January_2026,Ministry of Housing & Urban Affairs,Construction,1,644,644,127.46
January_2026,127.46,Real Estate,4,33749.85,33740.8,12397.6
January_2026,33749.85 33740.8 12397.6,Urban Public Transport,28,335215.64,355797,205666
January_2026,Ministry of Labour and Employment,Healthcare,13,3234.03,3466.61,1915.78
January_2026,Ministry of Mines,Construction,1,255.37,255.37,94.91
January_2026,255.37 255.37 94.91,Metals & Mining,6,8344.36,10724.5,7002.68
January_2026,Ministry of Petroleum & Natural Gas,Energy Storage,17,81207.16,120038,96246.4
January_2026,96246.4,Oil & Gas,93,353598.97,382328,191044
January_2026,"Ministry of Ports, Shipping and Waterways",Healthcare,1,693,693,58
January_2026,5546.18 5258.15 4149.62,Shipping,9,15124.41,15290.9,9338.98
January_2026,15124.41 15290.9 9338.98,"Tourism, Hospitality & Wellness",1,573,1238.05,545.51
January_2026,Ministry of Power,Coal,2,2083,2365,999.33
January_2026,999.33,Electricity Generation,30,258786.76,313027,127610
January_2026,Ministry of Railways,Railways,249,694031.39,845968,698710
January_2026,Ministry of Road Transport & Highways,Roads & Highways,863,799040.39,814341,247872
January_2026,Ministry of Steel,Metals & Mining,1,1700,1756.2,170.13
January_2026,1756.2 170.13,Steel,19,18161.41,21399.7,8959.01
March_2026,Department for Promotion of Industry & Internal Trade,Logistics Infrastructure,1,763,763,430
March_2026,Department of Higher Education,Education,29,14711.41,14454,8209.56
March_2026,Department of Sports,Education,1,906.47,611.74,571.72
March_2026,906.47 611.74 571.72,Total,1,906.47,571.72,4
March_2026,Department of Telecommunications,Telecommunication,12,151125.15,273253,77020.9
March_2026,"Department of Water Resources, River Development & GR",Waste & Water,8,4039.12,4039.12,1643.05
March_2026,4039.12 4039.12 1643.05,Water Resources,41,117826.11,221647,159575
March_2026,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,26,21600.76,22814.8,10583.3
March_2026,Ministry of Coal,Coal,117,186920.44,184376,48552.3
March_2026,48552.3,Electricity Generation,8,51903.57,56446.7,28993.4
March_2026,51903.57 56446.7 28993.4,Railways,2,3485.86,5002.87,2281.77
March_2026,Ministry of Health & Family Welfare,Healthcare,23,17252.19,21471,8257.63
March_2026,Ministry of Housing & Urban Affairs,Construction,1,644,644,161.57
March_2026,161.57,Real Estate,4,33749.85,33740.8,13944.3
March_2026,33749.85 33740.8 13944.3,Urban Public Transport,26,299557.47,320189,180184
March_2026,Ministry of Labour and Employment,Healthcare,12,3024.67,3257.25,1692.91
March_2026,Ministry of Mines,Construction,1,255.37,255.37,98.92
March_2026,255.37 255.37 98.92,Metals & Mining,5,7989.36,10143.5,7154.51
March_2026,Ministry of Petroleum & Natural Gas,Energy Storage,15,80140.16,118911,100403
March_2026,"Ministry of Ports, Shipping and Waterways",Healthcare,1,693,693,58
March_2026,14726.15 14766.8 9770.72,"Tourism, Hospitality & Wellness",1,573,1238.05,611.24
March_2026,Ministry of Power,Coal,2,2083,2365,1007.33
March_2026,1007.33,Electricity Generation,28,251346.16,302073,127585
March_2026,Ministry of Railways,Railways,244,687197.06,836904,568973
March_2026,Ministry of Steel,Metals & Mining,1,1700,1756.2,253.33
March_2026,1756.2 253.33,Steel,18,17811.66,21050,9797.06
November_2025,Department for Promotion of Industry & Internal Trade,Real Estate,2,3841.25,3841.25,656.65
November_2025,Department of Higher Education,Education,30,15115.18,14922.5,7945.92
November_2025,Department of Sports,Education,1,906.47,611.74,559.27
November_2025,906.47 611.74 559.27,Total,1,906.47,559.27,4
November_2025,Department of Telecommunications,Telecommunication,15,152734.45,274827,77536
November_2025,"Department of Water Resources, River Development & GR",Waste & Water,8,4039.12,4039.12,1643.05
November_2025,4039.12 4039.12 1643.05,Water Resources,39,93740.23,193594,139573
November_2025,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,25,19949.84,20411,9093.09
November_2025,Ministry of Coal,Coal,115,157276.32,154732,47909.7
November_2025,47909.7,Electricity Generation,6,50201.48,54744.6,25878.3
November_2025,50201.48 54744.6 25878.3,Railways,2,3485.86,4250.56,1929.72
November_2025,Ministry of Health & Family Welfare,Healthcare,5,8954.19,9972.41,2547.1
November_2025,Ministry of Housing & Urban Affairs,Construction,1,644,644,108.53
November_2025,108.53,Inland Waterways,1,63246,63246,29336
November_2025,33749.85 33749.8 58.58,Urban Public Transport,23,238843.11,259425,171216
November_2025,Ministry of Labour and Employment,Healthcare,14,3365.08,3631.54,1727.44
November_2025,Ministry of Mines,Construction,1,255.37,255.37,85.9
November_2025,255.37 255.37 85.9,Metals & Mining,6,8344.36,10724.5,6621.2
November_2025,Ministry of Petroleum & Natural Gas,Energy Storage,18,81884.05,120807,94582
November_2025,"Ministry of Ports, Shipping and Waterways",Healthcare,1,693,693,58
November_2025,5546.18 5258.15 3960.83,Shipping,9,15124.41,15290.9,8975.5
November_2025,15124.41 15290.9 8975.5,"Tourism, Hospitality & Wellness",1,573,1238.05,515.97
November_2025,Ministry of Power,Coal,2,2083,2365,986.91
November_2025,986.91,Electricity Generation,30,224974.07,281434,139252
November_2025,Ministry of Railways,Railways,258,693157.3,846186,542700
November_2025,Ministry of Steel,Metals & Mining,1,1700,1756.2,142.16
November_2025,1756.2 142.16,Steel,20,19266.64,22504.9,8979.27
July_2026,Department for Promotion of Industry & Internal Trade,Logistics Infrastructure,1,763.00,763.00,430.00
July_2026,763.00 (763.00) 430.00,Real Estate,11,20480.02,20480.02,1893.94
July_2026,Department of Higher Education,Education,30,15165.68,14973.27,8632.49
July_2026,Department of Sports,Education,1,906.47,611.74,577.32
July_2026,906.47 (611.74) 577.32,Total,1,906.47,577.32,4
July_2026,Department of Telecommunications,Telecommunication,31,207194.71,133825.11,102879.15
July_2026,"Department of Water Resources, River Development & GR",Waste & Water,8,4039.12,4039.12,1658.37
July_2026,4039.12 (4039.12) 1658.37,Water Resources,30,96487.38,197109.95,140510.51
July_2026,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,25,21345.07,22771.55,11586.47
July_2026,Ministry of Coal,Coal,113,182494.77,180186.43,51305.23
July_2026,182494.77 (180186.43) 51305.23,Electricity Generation,6,36781.81,36781.81,6354.71
July_2026,36781.81 (36781.81) 6354.71,Railways,2,3485.86,5002.87,2577.50
July_2026,Ministry of Health & Family Welfare,Healthcare,35,21050.26,25678.42,10844.00
July_2026,Ministry of Housing & Urban Affairs,Construction,1,644.00,644.00,188.69
July_2026,644.00 (644.00) 188.69,Real Estate,4,33749.85,33816.00,15090.75
July_2026,33749.85 (33816.00) 15090.75,Urban Public Transport,30,320872.37,339476.05,178627.24
July_2026,320872.37 (339476.05) 178627.24,Waste & Water,15,3750.55,3849.83,2930.11
July_2026,Ministry of Labour and Employment,Healthcare,9,2299.24,2496.24,1194.92
July_2026,Ministry of Mines,Construction,1,255.37,255.37,98.94
July_2026,255.37 (255.37) 98.94,Metals & Mining,5,7989.36,12087.17,7400.84
July_2026,Ministry of Petroleum & Natural Gas,Energy Storage,12,25151.96,28440.82,23048.58
July_2026,25151.96 (28440.82) 23048.58,Oil & Gas,91,362394.10,394917.26,204670.66
July_2026,"Ministry of Ports, Shipping and Waterways",Inland Waterways,1,5369.18,5061.15,4187.19
July_2026,5369.18 (5061.15) 4187.19,Shipping,4,7572.50,7613.11,5245.77
July_2026,7572.50 (7613.11) 5245.77,"Tourism, Hospitality & Wellness",1,573.00,1238.05,656.38
July_2026,Ministry of Power,Coal,2,2083.00,2365.00,1063.43
July_2026,2083.00 (2365.00) 1063.43,Electricity Generation,33,352432.05,402653.91,140445.00
July_2026,352432.05 (402653.91) 140445.00,Transmission & Distribution,63,197390.82,203354.39,68896.68
July_2026,Ministry of Railways,Railways,190,465721.36,638469.92,459390.96
July_2026,Ministry of Road Transport & Highways,Roads & Highways,993,945370.67,961717.26,460544.81
July_2026,Ministry of Steel,Metals & Mining,1,1700.00,1756.20,292.01
July_2026,1700.00 (1756.20) 292.01,Steel,26,24624.69,28206.53,12876.92
June_2026,Department for Promotion of Industry & Internal Trade,Logistics Infrastructure,1,763,763,430
June_2026,Department of Higher Education,Education,30,15165.68,14945.9,8423.25
June_2026,Department of Sports,Education,1,906.47,611.74,576.37
June_2026,906.47 611.74 576.37,Total,1,906.47,576.37,4
June_2026,Department of Telecommunications,Telecommunication,15,161792.15,263714,79930.2
June_2026,"Department of Water Resources, River Development & GR",Waste & Water,8,4039.12,4039.12,1655.55
June_2026,4039.12 4039.12 1655.55,Water Resources,32,98109.28,199840,143454
June_2026,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,25,21345.07,22559.1,11209.2
June_2026,Ministry of Coal,Coal,113,182823.26,180279,50030.4
June_2026,50030.4,Electricity Generation,6,36781.81,36781.8,6166.01
June_2026,36781.81 36781.8 6166.01,Railways,2,3485.86,5002.87,2505.92
June_2026,Ministry of Health & Family Welfare,Healthcare,35,20308.19,24527,10433.5
June_2026,Ministry of Housing & Urban Affairs,Construction,1,644,644,175.79
June_2026,175.79,Real Estate,4,33749.85,33816,15088
June_2026,Ministry of Labour and Employment,Healthcare,9,2299.24,2496.24,1160.08
June_2026,Ministry of Mines,Construction,1,255.37,255.37,98.92
June_2026,255.37 255.37 98.92,Metals & Mining,5,7989.36,12087.2,7351.9
June_2026,Ministry of Petroleum & Natural Gas,Energy Storage,14,36838.3,40278.8,32754.4
June_2026,36838.3 40278.8 32754.4,Oil & Gas,91,362124.04,392963,386636
June_2026,"Ministry of Ports, Shipping and Waterways",Inland Waterways,1,5369.18,5061.15,4117.61
June_2026,5369.18 5061.15 4117.61,Shipping,6,14404.75,14445.4,10972
June_2026,Ministry of Power,Coal,2,2083,2365,1053.41
June_2026,1053.41,Electricity Generation,32,314074.05,364801,136477
June_2026,Ministry of Railways,Railways,255,721177.95,868991,581963
June_2026,Ministry of Road Transport & Highways,Roads & Highways,1022,969676.9,989066,448973
June_2026,Ministry of Steel,Metals & Mining,1,1700,1756.2,263.01
June_2026,1756.2 263.01,Steel,17,17297.84,20536.1,10585.1
May2026,Department for Promotion of Industry & Internal Trade,Logistics Infrastructure,2,2243,2243,430
May2026,Department of Higher Education,Education,30,15165.68,14908.2,8352.55
May2026,Department of Sports,Education,1,906.47,611.74,575.68
May2026,906.47 611.74 575.68,Total,1,906.47,575.68,4
May2026,Department of Telecommunications,Telecommunication,12,151125.15,253047,76237.3
May2026,"Department of Water Resources, River Development & GR",Waste & Water,8,4039.12,4039.12,1643.05
May2026,4039.12 4039.12 1643.05,Water Resources,32,98109.28,199840,141119
May2026,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,26,21600.76,22814.8,11077.3
May2026,Ministry of Coal,Coal,113,183618.68,181075,47831.3
May2026,47831.3,Electricity Generation,6,36781.81,36781.8,6331.46
May2026,36781.81 36781.8 6331.46,Railways,2,3485.86,5002.87,2338.96
May2026,Ministry of Health & Family Welfare,Healthcare,35,20308.19,24527,10306.3
May2026,Ministry of Housing & Urban Affairs,Construction,1,644,644,161.57
May2026,161.57,Real Estate,4,33749.85,33816,15088
May2026,Ministry of Labour and Employment,Healthcare,9,2299.24,2496.24,1160.04
May2026,Ministry of Mines,Construction,1,255.37,255.37,98.92
May2026,255.37 255.37 98.92,Metals & Mining,5,7989.36,12087.2,7250.79
May2026,Ministry of Petroleum & Natural Gas,Energy Storage,16,80623.3,120394,103092
May2026,"Ministry of Ports, Shipping and Waterways",Inland Waterways,1,5369.18,5061.15,4028.82
May2026,5369.18 5061.15 4028.82,Shipping,6,14404.75,14445.4,10820
May2026,Ministry of Power,Coal,2,2083,2365,1033.41
May2026,1033.41,Electricity Generation,32,314074.05,364801,134194
May2026,Ministry of Railways,Railways,261,728025.49,879362,583862
May2026,Ministry of Steel,Metals & Mining,1,1700,1756.2,263.01
May2026,1756.2 263.01,Steel,18,17811.66,21050,10473.8
April2026,Department for Promotion of Industry & Internal Trade,Logistics Infrastructure,1,763,763,430
April2026,Department of Higher Education,Education,30,15165.68,14908.2,8310.52
April2026,Department of Sports,Education,1,906.47,611.74,574.12
April2026,906.47 611.74 574.12,Total,1,906.47,574.12,4
April2026,Department of Telecommunications,Telecommunication,12,151125.15,273253,77035.7
April2026,"Department of Water Resources, River Development & GR",Waste & Water,8,4039.12,4039.12,1643.05
April2026,4039.12 4039.12 1643.05,Water Resources,40,117255.04,220989,160182
April2026,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,26,21600.76,22814.8,10762
April2026,Ministry of Coal,Coal,117,185612.91,183069,48260.8
April2026,48260.8,Electricity Generation,9,56050.64,60593.8,29405.7
April2026,56050.64 60593.8 29405.7,Railways,2,3485.86,5002.87,2338.96
April2026,Ministry of Health & Family Welfare,Healthcare,23,17252.19,21471,8356.63
April2026,Ministry of Housing & Urban Affairs,Construction,1,644,644,161.57
April2026,161.57,Real Estate,4,33749.85,33795.9,14539.5
April2026,33749.85 33795.9 14539.5,Urban Public Transport,27,315168.47,335924,181939
April2026,Ministry of Labour and Employment,Healthcare,11,2871.72,3080.24,1590
April2026,Ministry of Mines,Construction,1,255.37,255.37,98.92
April2026,255.37 255.37 98.92,Metals & Mining,5,7989.36,12087.2,7203.91
April2026,Ministry of Petroleum & Natural Gas,Energy Storage,16,80623.3,119394,101617
April2026,"Ministry of Ports, Shipping and Waterways",Inland Waterways,1,5369.18,5061.15,3990.06
April2026,5369.18 5061.15 3990.06,Shipping,5,13572.5,13613.1,10569.4
April2026,13572.5 13613.1 10569.4,"Tourism, Hospitality & Wellness",1,573,1238.05,614.91
April2026,Ministry of Power,Coal,2,2083,2365,1072.11
April2026,1072.11,Electricity Generation,31,284729.2,335456,130569
April2026,Ministry of Railways,Railways,260,718136.25,869473,578947
April2026,Ministry of Steel,Metals & Mining,1,1700,1756.2,258.41
April2026,1756.2 258.41,Steel,18,17811.66,21050,10073
