report_month,state,ministry,sector,project_count,original_cost,revised_cost,expenditure
August_2025,Arunachal Pradesh,Ministry of Railways,Railways,1,435.0,1250.0,901.0
August_2025,Assam,Department of Higher Education,Education,1,153.71,153.71,54.05
August_2025,Assam,Department of Telecommunications,Telecommunication,1,1255.49,1255.49,284.04
August_2025,Assam,"Department of Water Resources, River Development & GR",Water Resources,1,256.16,256.16,0.0
August_2025,Assam,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,1712.0,1712.0,2335.44
August_2025,Assam,Ministry of Coal,Coal,2,449.23,449.23,186.31
August_2025,Assam,Ministry of Housing & Urban Affairs,Waste & Water,1,186.8,186.8,1291.55
August_2025,Assam,Ministry of Petroleum & Natural Gas,Energy Storage,3,10768.4,11947.4,9941.27
August_2025,Assam,9941.27,Oil & Gas,13,28019.15,41554.0,30591.24
August_2025,Assam,Ministry of Power,Electricity Generation,1,6285.33,26075.5,24880.95
August_2025,Assam,24880.95,Transmission & Distribution,1,5111.33,6700.0,5277.24
August_2025,Assam,Ministry of Railways,Railways,7,14593.57,16308.6,10302.48
August_2025,Bihar,Department of Higher Education,Education,1,499.21,499.21,425.47
August_2025,Bihar,Department of Telecommunications,Telecommunication,3,2336.11,2107.64,960.21
August_2025,Bihar,"Department of Water Resources, River Development & GR",Waste & Water,5,2351.43,2351.43,1303.45
August_2025,Bihar,1303.45,Water Resources,3,2884.49,4060.84,1590.27
August_2025,Bihar,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,3,3541.56,3541.56,1256.71
August_2025,Bihar,Ministry of Housing & Urban Affairs,Urban Public Transport,1,13365.77,13365.8,4039.77
August_2025,Bihar,4039.77,Waste & Water,1,158.78,158.78,48.61
August_2025,Bihar,Ministry of Petroleum & Natural Gas,Energy Storage,1,10228.0,11407.0,9766.72
August_2025,Bihar,9766.72,Oil & Gas,7,24636.5,26501.2,13258.37
August_2025,Bihar,"Ministry of Ports, Shipping and Waterways",Inland Waterways,1,5369.18,5061.15,3510.72
August_2025,Bihar,Ministry of Power,Electricity Generation,1,10439.09,13756.6,12148.46
August_2025,Bihar,12148.46,Transmission & Distribution,2,751.63,751.63,0.9
August_2025,Bihar,Ministry of Railways,Railways,20,48815.69,52817.3,22483.47
August_2025,Chhattisgarh,Department of Telecommunications,Telecommunication,2,5262.57,5262.57,1699.75
August_2025,Chhattisgarh,"Department of Water Resources, River Development & GR",Water Resources,2,842.26,1109.33,616.93
August_2025,Chhattisgarh,Ministry of Coal,Coal,15,38654.89,38654.9,15480.4
August_2025,Chhattisgarh,15480.40,Railways,1,1686.22,1686.22,347.96
August_2025,Chhattisgarh,Ministry of Petroleum & Natural Gas,Oil & Gas,2,10056.25,10467.0,6509.05
August_2025,Chhattisgarh,Ministry of Power,Electricity Generation,2,25321.0,25321.0,2480.0
August_2025,Chhattisgarh,2480.00,Transmission & Distribution,1,385.84,385.84,378.17
August_2025,Chhattisgarh,Ministry of Railways,Railways,19,32162.0,34222.7,18291.67
August_2025,Chhattisgarh,Ministry of Steel,Metals & Mining,1,1700.0,1756.2,65.44
August_2025,Chhattisgarh,65.44,Steel,6,7530.14,10050.1,5270.32
August_2025,Dadra & Nagar Haveli and Daman & Diu,Ministry of Housing & Urban Affairs,Waste & Water,1,210.0,210.0,0.0
August_2025,Dadra & Nagar Haveli and Daman & Diu,Ministry of Power,Transmission & Distribution,1,4546.26,4546.26,4172.96
August_2025,Dadra & Nagar Haveli and Daman & Diu,Ministry of Railways,Railways,1,108000.0,108000.0,79918.89
August_2025,Delhi,Department of Higher Education,Education,2,706.49,706.49,300.98
August_2025,Delhi,Department of Telecommunications,Telecommunication,1,248.2,248.2,236.91
August_2025,Delhi,Ministry of Housing & Urban Affairs,Construction,1,646.53,646.52,533.12
August_2025,Delhi,533.12,Real Estate,1,32850.0,32850.0,0.0
August_2025,Delhi,0.00,Urban Public Transport,4,69853.45,69853.4,42116.99
August_2025,Delhi,Ministry of Power,Transmission & Distribution,4,4356.47,4908.47,3923.11
August_2025,Delhi,Ministry of Railways,Railways,14,28176.96,28177.0,5356.29
August_2025,Goa,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,255.69,255.69,130.0
August_2025,Goa,Ministry of Railways,Railways,2,5804.49,6182.62,5976.87
August_2025,Gujarat,Department of Higher Education,Education,1,490.63,490.63,301.44
August_2025,Gujarat,Department of Telecommunications,Telecommunication,1,336.89,301.13,227.82
August_2025,Gujarat,"Department of Water Resources, River Development & GR",Water Resources,2,25739.93,40082.8,36722.58
August_2025,Gujarat,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,1305.0,1551.0,1348.78
August_2025,Gujarat,Ministry of Coal,Coal,1,7580.0,7580.0,3091.0
August_2025,Gujarat,3091.00,Electricity Generation,1,383.84,383.84,303.5
August_2025,Gujarat,Ministry of Housing & Urban Affairs,Real Estate,1,539.0,539.0,39.63
August_2025,Gujarat,39.63,Urban Public Transport,3,28177.49,30329.0,23950.31
August_2025,Gujarat,23950.31,Waste & Water,1,200.0,200.0,100.0
August_2025,Gujarat,Ministry of Petroleum & Natural Gas,Energy Storage,3,62245.0,98575.0,75103.78
August_2025,Gujarat,75103.78,Oil & Gas,11,32704.12,32178.7,22879.89
August_2025,Gujarat,"Ministry of Ports, Shipping and Waterways",Inland Waterways,1,4243.64,4243.64,366.2
August_2025,Gujarat,366.20,"Tourism, Hospitality & Wellness",1,573.0,1238.05,496.63
August_2025,Gujarat,Ministry of Power,Electricity Generation,1,339.35,339.35,317.59
August_2025,Gujarat,317.59,Transmission & Distribution,13,45319.41,45318.9,12842.82
August_2025,Gujarat,Ministry of Railways,Railways,31,187430.66,262112.0,216423.66
August_2025,Haryana,Ministry of Health & Family Welfare,Healthcare,1,1299.0,1299.0,349.41
August_2025,Haryana,Ministry of Housing & Urban Affairs,Urban Public Transport,1,6230.99,6230.99,0.29
August_2025,Haryana,0.29,Waste & Water,2,491.2,491.2,2617.89
August_2025,Haryana,Ministry of Petroleum & Natural Gas,Energy Storage,1,9028.0,9028.0,7136.41
August_2025,Haryana,7136.41,Oil & Gas,5,45925.07,49596.1,33666.9
August_2025,Haryana,Ministry of Power,Transmission & Distribution,4,13362.0,13914.0,2619.3
August_2025,Haryana,Ministry of Railways,Railways,4,53464.0,126368.0,125567.23
August_2025,Himachal Pradesh,Department of Higher Education,Education,3,811.15,921.89,579.09
August_2025,Himachal Pradesh,Department of Telecommunications,Telecommunication,1,336.89,301.13,227.82
August_2025,Himachal Pradesh,Ministry of Power,Electricity Generation,4,7728.04,12252.1,4137.13
August_2025,Himachal Pradesh,Ministry of Railways,Railways,3,17005.0,17005.1,9366.44
August_2025,Jammu and Kashmir,Department of Higher Education,Education,1,424.93,500.91,484.52
August_2025,Jammu and Kashmir,Department of Telecommunications,Telecommunication,1,336.89,301.13,227.82
August_2025,Jammu and Kashmir,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,861.37,861.37,177.69
August_2025,Jammu and Kashmir,Ministry of Health & Family Welfare,Healthcare,1,1828.0,1828.0,1531.86
August_2025,Jammu and Kashmir,Ministry of Petroleum & Natural Gas,Energy Storage,1,676.89,676.89,526.1
August_2025,Jammu and Kashmir,526.10,Oil & Gas,2,1059.9,1059.9,193.82
August_2025,Jammu and Kashmir,Ministry of Power,Electricity Generation,4,22207.77,27945.1,12525.6
August_2025,Jammu and Kashmir,12525.60,Transmission & Distribution,3,825.43,825.43,496.12
August_2025,Jharkhand,Department of Telecommunications,Telecommunication,2,5262.57,5262.57,1699.75
August_2025,Jharkhand,"Department of Water Resources, River Development & GR",Water Resources,2,5430.04,12010.3,5704.07
August_2025,Jharkhand,Ministry of Coal,Coal,27,45414.48,45178.8,10417.02
August_2025,Jharkhand,10417.02,Railways,1,1799.64,1799.64,1293.71
August_2025,Jharkhand,Ministry of Housing & Urban Affairs,Waste & Water,3,654.14,654.14,2532.48
August_2025,Jharkhand,Ministry of Mines,Metals & Mining,2,3370.02,3370.02,16.57
August_2025,Jharkhand,Ministry of Petroleum & Natural Gas,Energy Storage,1,10228.0,11407.0,9766.72
August_2025,Jharkhand,9766.72,Oil & Gas,3,2010.07,2010.07,595.56
August_2025,Jharkhand,"Ministry of Ports, Shipping and Waterways",Inland Waterways,1,5369.18,5061.15,3510.72
August_2025,Jharkhand,Ministry of Power,Coal,2,2083.0,2365.0,910.82
August_2025,Jharkhand,910.82,Electricity Generation,2,31470.0,34660.0,18606.57
August_2025,Jharkhand,Ministry of Railways,Railways,12,43352.74,43746.7,14874.38
August_2025,Jharkhand,Ministry of Steel,Steel,6,2854.58,3572.87,1284.99
August_2025,Karnataka,Department for Promotion of Industry & Internal Trade,Real Estate,1,1701.81,1701.81,88.25
August_2025,Karnataka,Department of Higher Education,Education,1,420.41,420.41,360.72
August_2025,Karnataka,"Department of Water Resources, River Development & GR",Water Resources,1,770.16,1606.07,1511.22
August_2025,Karnataka,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,3,1143.4,1143.4,515.77
August_2025,Karnataka,Ministry of Housing & Urban Affairs,Urban Public Transport,2,41193.24,45483.2,37902.51
August_2025,Karnataka,37902.51,Waste & Water,2,337.69,337.69,1278.27
August_2025,Karnataka,Ministry of Petroleum & Natural Gas,Energy Storage,1,678.0,1732.0,713.86
August_2025,Karnataka,713.86,Oil & Gas,5,9662.0,12693.6,8749.96
August_2025,Karnataka,Ministry of Power,Transmission & Distribution,6,15682.01,15682.0,2815.76
August_2025,Karnataka,Ministry of Railways,Railways,17,25363.59,31532.2,17702.61
August_2025,Karnataka,Ministry of Steel,Steel,1,1043.63,1043.63,229.77
August_2025,Kerala,Department of Higher Education,Education,1,1006.45,1217.4,623.6
August_2025,Kerala,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,484.57,484.57,83.95
August_2025,Kerala,Ministry of Housing & Urban Affairs,Urban Public Transport,1,1957.05,1957.05,329.94
August_2025,Kerala,Ministry of Petroleum & Natural Gas,Oil & Gas,3,7996.87,10990.9,4912.37
August_2025,Kerala,Ministry of Railways,Railways,3,2846.0,5199.0,3026.15
August_2025,Ladakh,Department of Telecommunications,Telecommunication,1,336.89,301.13,227.82
August_2025,Ladakh,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,480.0,640.0,434.79
August_2025,Ladakh,Ministry of Power,Transmission & Distribution,1,288.71,288.71,207.8
August_2025,Madhya Pradesh,Department of Higher Education,Education,1,496.28,496.28,143.95
August_2025,Madhya Pradesh,Department of Telecommunications,Telecommunication,2,1999.22,1806.51,732.39
August_2025,Madhya Pradesh,"Department of Water Resources, River Development & GR",Water Resources,3,2628.27,2941.14,2725.95
August_2025,Madhya Pradesh,Ministry of Coal,Coal,14,8634.02,8634.02,3368.12
August_2025,Madhya Pradesh,Ministry of Housing & Urban Affairs,Urban Public Transport,2,14442.2,14442.2,7095.55
August_2025,Madhya Pradesh,7095.55,Waste & Water,4,1243.05,1243.05,6956.6
August_2025,Madhya Pradesh,Ministry of Mines,Metals & Mining,1,1856.36,1856.36,935.32
August_2025,Madhya Pradesh,Ministry of Petroleum & Natural Gas,Energy Storage,1,10088.0,10088.0,7672.23
August_2025,Madhya Pradesh,7672.23,Oil & Gas,2,51211.25,51622.0,8351.1
August_2025,Madhya Pradesh,Ministry of Power,Transmission & Distribution,6,17446.0,17446.0,2930.65
August_2025,Madhya Pradesh,Ministry of Railways,Railways,18,56050.78,67640.2,42750.83
August_2025,Maharashtra,Department of Higher Education,Education,2,250.33,446.26,154.7
August_2025,Maharashtra,Department of Telecommunications,Telecommunication,3,5723.99,5723.99,1865.77
August_2025,Maharashtra,"Department of Water Resources, River Development & GR",Water Resources,10,20736.55,30421.9,31303.79
August_2025,Maharashtra,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,500.48,500.48,332.26
August_2025,Maharashtra,Ministry of Coal,Coal,25,12455.88,12455.9,3084.72
August_2025,Maharashtra,Ministry of Housing & Urban Affairs,Urban Public Transport,6,34571.47,48711.5,28993.92
August_2025,Maharashtra,28993.92,Waste & Water,5,1088.72,1088.72,2313.41
August_2025,Maharashtra,Ministry of Petroleum & Natural Gas,Energy Storage,1,281.35,389.67,230.76
August_2025,Maharashtra,230.76,Oil & Gas,13,34264.24,37660.4,20702.79
August_2025,Maharashtra,"Ministry of Ports, Shipping and Waterways",Healthcare,1,693.0,693.0,58.0
August_2025,Maharashtra,58.00,Shipping,2,1266.8,1266.8,441.86
August_2025,Maharashtra,Ministry of Power,Transmission & Distribution,3,29589.67,29589.7,5993.74
August_2025,Maharashtra,Ministry of Railways,Railways,36,267281.11,358733.0,262133.68
August_2025,Manipur,"Department of Water Resources, River Development & GR",Water Resources,1,1449.44,1822.24,1837.91
August_2025,Manipur,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,499.0,499.0,154.43
August_2025,Manipur,Ministry of Petroleum & Natural Gas,Oil & Gas,1,9265.0,9265.0,6393.85
August_2025,Manipur,Ministry of Power,Transmission & Distribution,1,5111.33,6700.0,5277.24
August_2025,Manipur,Ministry of Railways,Railways,1,14323.0,21885.9,15598.11
August_2025,Meghalaya,Department of Higher Education,Education,1,494.52,494.52,413.57
August_2025,Meghalaya,Department of Telecommunications,Telecommunication,1,971.96,971.96,208.25
August_2025,Meghalaya,Ministry of Petroleum & Natural Gas,Oil & Gas,1,9265.0,9265.0,6393.85
August_2025,Meghalaya,Ministry of Power,Transmission & Distribution,1,5111.33,6700.0,5277.24
August_2025,Mizoram,Department of Higher Education,Education,1,474.23,474.23,167.55
August_2025,Mizoram,Ministry of Petroleum & Natural Gas,Oil & Gas,1,9265.0,9265.0,6393.85
August_2025,Mizoram,Ministry of Power,Transmission & Distribution,1,5111.33,6700.0,5277.24
August_2025,Nagaland,Department of Higher Education,Education,1,275.63,275.63,260.1
August_2025,Nagaland,Ministry of Petroleum & Natural Gas,Oil & Gas,2,9492.62,9492.62,6402.97
August_2025,Nagaland,Ministry of Power,Transmission & Distribution,1,5111.33,6700.0,5277.24
August_2025,Nagaland,Ministry of Railways,Railways,2,8786.7,8786.7,5326.0
August_2025,Odisha,Department of Higher Education,Education,1,1229.32,773.76,837.04
August_2025,Odisha,Department of Telecommunications,Telecommunication,2,5262.57,5262.57,1699.75
August_2025,Odisha,"Department of Water Resources, River Development & GR",Water Resources,2,1556.46,5291.33,5193.3
August_2025,Odisha,Ministry of Coal,Coal,12,36526.28,34218.0,13335.92
August_2025,Odisha,13335.92,Electricity Generation,1,27212.96,27213.0,1953.52
August_2025,Odisha,Ministry of Mines,Metals & Mining,5,7343.97,9724.14,5037.7
August_2025,Odisha,Ministry of Petroleum & Natural Gas,Energy Storage,2,12886.34,14217.0,11970.7
August_2025,Odisha,11970.70,Oil & Gas,5,25285.44,23768.5,15778.36
August_2025,Odisha,"Ministry of Ports, Shipping and Waterways",Shipping,1,3004.63,3004.63,1149.79
August_2025,Odisha,Ministry of Power,Electricity Generation,1,11843.75,12543.0,4161.68
August_2025,Odisha,4161.68,Transmission & Distribution,1,342.69,342.69,0.6
August_2025,Odisha,Ministry of Railways,Railways,28,47401.37,52133.4,31907.65
August_2025,Odisha,31907.65,Railways,1,267.61,267.61,0.0
August_2025,Odisha,Ministry of Steel,Steel,1,1105.23,1105.23,769.08
August_2025,Puducherry,Department of Higher Education,Education,1,618.34,544.34,509.55
August_2025,Puducherry,Ministry of Railways,Railways,1,713.0,981.0,598.38
August_2025,Punjab,Department of Higher Education,Education,2,559.3,559.3,290.39
August_2025,Punjab,"Department of Water Resources, River Development & GR",Water Resources,2,3727.07,5177.86,5072.69
August_2025,Punjab,Ministry of Housing & Urban Affairs,Waste & Water,2,545.53,545.53,612.96
August_2025,Punjab,Ministry of Petroleum & Natural Gas,Oil & Gas,6,13060.36,13090.4,8374.98
August_2025,Punjab,Ministry of Power,Transmission & Distribution,1,5969.0,5969.0,218.47
August_2025,Punjab,Ministry of Railways,Railways,3,15702.64,15702.6,8977.71
August_2025,Rajasthan,Department of Telecommunications,Telecommunication,2,758.54,530.07,361.9
August_2025,Rajasthan,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,2,1367.0,1367.0,634.54
August_2025,Rajasthan,Ministry of Coal,Electricity Generation,1,1813.0,1813.0,874.14
August_2025,Rajasthan,Ministry of Petroleum & Natural Gas,Energy Storage,3,52618.05,88948.1,67548.03
August_2025,Rajasthan,67548.03,Oil & Gas,2,10599.0,10599.0,6647.57
August_2025,Rajasthan,Ministry of Power,Electricity Generation,1,5491.89,5491.89,4805.16
August_2025,Rajasthan,4805.16,Transmission & Distribution,22,53646.51,54198.2,16979.78
August_2025,Rajasthan,Ministry of Railways,Railways,21,86599.15,162169.0,139520.05
August_2025,Sikkim,Department of Higher Education,Education,2,999.82,924.82,359.78
August_2025,Sikkim,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,323.26,323.26,29.7
August_2025,Sikkim,Ministry of Petroleum & Natural Gas,Oil & Gas,1,9265.0,9265.0,6393.85
August_2025,Sikkim,Ministry of Power,Electricity Generation,2,6686.33,7576.15,6161.06
August_2025,Sikkim,6161.06,Transmission & Distribution,1,4754.42,9129.32,7462.2
August_2025,Sikkim,Ministry of Railways,Railways,1,7877.0,12133.0,9039.91
August_2025,Tamil Nadu,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,1207.0,1207.0,149.21
August_2025,Tamil Nadu,Ministry of Coal,Electricity Generation,1,218.03,218.03,161.73
August_2025,Tamil Nadu,Ministry of Housing & Urban Affairs,Inland Waterways,1,63246.0,63246.0,26410.15
August_2025,Tamil Nadu,Ministry of Mines,Metals & Mining,1,166.0,166.0,135.0
August_2025,Tamil Nadu,Ministry of Petroleum & Natural Gas,Energy Storage,3,2334.0,3448.71,1641.58
August_2025,Tamil Nadu,1641.58,Oil & Gas,4,38385.0,46153.0,6060.57
August_2025,Tamil Nadu,Ministry of Power,Transmission & Distribution,1,548.0,548.0,14.68
August_2025,Tamil Nadu,Ministry of Railways,Railways,8,8730.0,11599.0,5805.89
August_2025,Telangana,Department of Higher Education,Education,1,262.0,262.0,177.09
August_2025,Telangana,Department of Telecommunications,Telecommunication,2,2038.99,2038.99,764.33
August_2025,Telangana,"Department of Water Resources, River Development & GR",Water Resources,4,11670.14,24129.6,11830.43
August_2025,Telangana,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,1,500.48,500.48,332.26
August_2025,Telangana,Ministry of Coal,Coal,9,3890.03,3890.03,2462.36
August_2025,Telangana,Ministry of Health & Family Welfare,Healthcare,1,1028.0,1365.95,812.95
August_2025,Telangana,Ministry of Power,Transmission & Distribution,2,5694.56,5694.56,4337.14
August_2025,Telangana,Ministry of Railways,Railways,11,22284.15,26048.2,9009.21
August_2025,Tripura,Ministry of Petroleum & Natural Gas,Energy Storage,1,656.0,656.0,478.11
August_2025,Tripura,478.11,Oil & Gas,2,9474.33,9396.51,6462.73
August_2025,Tripura,Ministry of Power,Transmission & Distribution,1,5111.33,6700.0,5277.24
August_2025,Uttar Pradesh,Department of Higher Education,Education,1,246.0,246.0,193.38
August_2025,Uttar Pradesh,Department of Telecommunications,Telecommunication,3,2336.11,2107.64,960.21
August_2025,Uttar Pradesh,"Department of Water Resources, River Development & GR",Waste & Water,2,1532.96,1532.96,243.43
August_2025,Uttar Pradesh,243.43,Water Resources,4,3694.65,8775.49,7633.54
August_2025,Uttar Pradesh,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,5,7268.31,7323.51,16971.73
August_2025,Uttar Pradesh,Ministry of Coal,Coal,2,1328.09,1328.09,1017.31
August_2025,Uttar Pradesh,1017.31,Electricity Generation,1,17237.8,21780.9,20269.54
August_2025,Uttar Pradesh,Ministry of Housing & Urban Affairs,Urban Public Transport,3,49730.1,49730.1,41466.62
August_2025,Uttar Pradesh,41466.62,Waste & Water,2,797.47,797.47,689.15
August_2025,Uttar Pradesh,Ministry of Petroleum & Natural Gas,Energy Storage,2,11068.45,11068.5,7888.89
August_2025,Uttar Pradesh,7888.89,Oil & Gas,3,17824.68,18213.1,1578.44
August_2025,Uttar Pradesh,"Ministry of Ports, Shipping and Waterways",Inland Waterways,1,5369.18,5061.15,3510.72
August_2025,Uttar Pradesh,Ministry of Power,Electricity Generation,2,28284.42,30471.2,14511.21
August_2025,Uttar Pradesh,14511.21,Transmission & Distribution,3,8114.81,8114.81,1650.63
August_2025,Uttar Pradesh,Ministry of Railways,Railways,28,95245.3,169871.0,148169.27
August_2025,Uttarakhand,Department of Higher Education,Education,1,650.85,650.85,195.52
August_2025,Uttarakhand,"Department of Water Resources, River Development & GR",Water Resources,1,2584.1,2584.1,968.52
August_2025,Uttarakhand,Ministry of Housing & Urban Affairs,Real Estate,1,150.97,150.97,18.95
August_2025,Uttarakhand,Ministry of Power,Electricity Generation,3,11663.95,26070.0,20361.54
August_2025,Uttarakhand,Ministry of Railways,Railways,1,38953.0,38953.0,24645.15
August_2025,West Bengal,Department of Higher Education,Education,2,787.2,729.2,693.6
August_2025,West Bengal,Department of Telecommunications,Telecommunication,1,1577.57,1577.57,598.31
August_2025,West Bengal,"Department of Water Resources, River Development & GR",Waste & Water,1,154.73,154.73,96.17
August_2025,West Bengal,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,2,1877.3,1877.3,375.4
August_2025,West Bengal,Ministry of Coal,Coal,13,15863.74,15863.7,2802.3
August_2025,West Bengal,Ministry of Mines,Construction,1,255.37,255.37,79.34
August_2025,West Bengal,Ministry of Petroleum & Natural Gas,Energy Storage,1,10228.0,11407.0,9766.72
August_2025,West Bengal,9766.72,Oil & Gas,8,18159.65,19007.2,11294.42
August_2025,West Bengal,"Ministry of Ports, Shipping and Waterways",Inland Waterways,1,5369.18,5061.15,3510.72
August_2025,West Bengal,3510.72,Shipping,2,551.91,551.91,429.28
August_2025,West Bengal,Ministry of Power,Electricity Generation,3,20091.84,20160.8,3566.83
August_2025,West Bengal,3566.83,Transmission & Distribution,2,751.63,751.63,0.9
August_2025,West Bengal,Ministry of Railways,Railways,16,49682.05,60254.0,33496.35
August_2025,West Bengal,Ministry of Steel,Steel,5,4214.67,4214.67,415.6
August_2025,West Bengal,Guwahati Airport New Integrated Terminal Building Construction Project (Adani Airport Holdings Limited) (706724) Assam 12/2016 (03/2018) 03/2025,(11/2025),1712,1712.0,2335.44,91.0
August_2025,C/o NITB Imphal Airport,(Airport Authority of India [AAI]) (706718) Manipur 11/2021 (07/2022) 07/2024,(12/2026),499,499.0,154.43,41.0
August_2025,C/o NITB Imphal Airport,Rajasthan Refinery Project (MinistryofPetroleumNaturalGas) (701263) Arunachal Pradesh NA (10/2017) 10/2022,(03/2026),43129,79459.0,60295.14,88.0
August_2025,C/o NITB Imphal Airport,Paradip-Numaligarh Crude Oil Pipeline [PNCPL] & Crude Oil Import Terminal [COIT] at Paradip (Ministry of Petroleum & Natural Gas) (701349) Assam NA (01/2019) 07/2024,(09/2025),10228,11407.0,9766.72,87.0
August_2025,C/o NITB Imphal Airport,"Grass Root Rail-fed Depot at Sekerkote, Agartala as resitement of existing Dharmanagar Depot (Indian Oil Corporation Limited [IOCL]) (400035) Tripura NA (06/2022) 09/2025",(06/2026),656,656.0,478.11,86.0
August_2025,C/o NITB Imphal Airport,Numaligarh Refinery Expansion Project (Ministry of Petroleum & Natural Gas) (604791) Assam NA (07/2020) 07/2024,(12/2025),12366,22494.0,16764.09,76.0
August_2025,C/o NITB Imphal Airport,"Assam Bio Refinery, ABRPL (Ministry of Petroleum & Natural Gas) (604792) Assam NA (02/2018) 09/2021",(09/2025),1750,4930.0,4710.0,99.0
August_2025,C/o NITB Imphal Airport,Upgradation of Facilities of Numaligarh-Siliguri Product Pipeline [NSPL] for transportation of additional products from existing 1.72 MMTPA to 5.5 MMTPA (Ministry of Petroleum & Natural Gas) (701350) Assam NA (06/2021) 12/2024,(10/2025),860,860.0,584.76,98.0
August_2025,C/o NITB Imphal Airport,Augmentation/Revamping of Facilities at existing Guwahati Terminal at Betkuchi (MinistryofPetroleumNaturalGas) (709776) Assam NA (04/2022) 09/2026,(09/2026),277,323.09,185.18,68.0
August_2025,C/o NITB Imphal Airport,Capacity Expansion of Digboi Refinery from 0.65 to 1.0 MMTPA (MinistryofPetroleumNaturalGas) (709779) Assam NA (06/2022) 03/2026,(03/2026),768,740.0,107.72,39.0
August_2025,C/o NITB Imphal Airport,DCU Revamp Project (NRL) (709864) Assam NA (08/2021) 07/2024,(10/2025),370,370.0,253.17,60.0
August_2025,C/o NITB Imphal Airport,"North East Gas Grid (Ministry of Petroleum & Natural Gas) (701346) Multi-States (Arunachal Pradesh, Assam, Manipur, Meghalaya, Mizoram, Nagaland, Sikkim, Tripura) NA (04/2020) 03/2024",(03/2026),9265,9265.0,6393.85,85.0
August_2025,C/o NITB Imphal Airport,Doubling of New Bonggigaon to Kamakhya via Goalpara - 176 km (Northeast Frontier Railway [NFR]) (705572) Assam 09/2016 (09/2016) 03/2026,(03/2026),4060,4961.0,3683.75,93.0
August_2025,C/o NITB Imphal Airport,Jiribam-Imphal new line project (Northeast Frontier Railway [NFR]) (705391) Manipur 03/2013 (12/2007) 12/2026,(06/2029),14323,21885.9,15598.11,69.0
August_2025,C/o NITB Imphal Airport,"Murkongselek-Pasighat (Northeast Frontier Railway (NFR) - II) (705401) Multi-States (Arunachal Pradesh, Assam) NA (03/2012) 03/2025",(12/2025),435,1250.0,901.0,56.0
August_2025,C/o NITB Imphal Airport,"Dimapur [Dhansiri]-Sukhobi Kohima [Zubza] NL [82.5 Km] (Northeast Frontier Railway [NFR]) (705392) Multi-States (Assam, Nagaland) 08/2015 (02/2016) 03/2025",(12/2025),6663,6663.0,5312.26,80.0
