project_id,sector,state,implementing_agency,approved_cost,planned_duration_months,is_overrun,overrun_pct
602096,,Multi-States,National Highways & Infrastructure Development Corporation Ltd. [NHIDCL],,,0,
602098,,Jammu and,"Indian Institute of Management, Jammu",424.93,32.0,0,0.0
602099,,Himachal Pradesh,"Indian Institute of Management, Sirmaur",454.78,28.0,0,0.0
602181,,Sikkim,National Highways & Infrastructure Development Corporation Ltd. [NHIDCL],5748.04,45.0,0,0.0
602182,,Arunachal Pradesh,National Highways & Infrastructure Development Corporation Ltd. [NHIDCL],31876.4,0.0,0,0.0
602184,,West Bengal,National Thermal Power Corporation [NTPC],1381.84,114.0,0,0.0
602185,,Uttarakhand,National Thermal Power Corporation [NTPC],10907.3,193.0,0,0.0
602193,,Uttarakhand,THDC India Limited,8339.0,41.0,0,0.0
602194,,Uttar Pradesh,THDC India Limited,13276.2,18.0,0,0.0
602195,,Uttarakhand,THDC India Limited,6823.72,51.0,0,0.0
602223,,Multi-States,Power Grid Corporation of India Limited [POWERGRID],,,0,
602525,,Jammu and,National Highways & Infrastructure Development Corporation Ltd. [NHIDCL],8112.12,26.0,0,0.0
602532,,Jammu and,National Highways & Infrastructure Development Corporation Ltd. [NHIDCL],4287.59,54.0,0,0.0
602535,,Jammu and,National Highways & Infrastructure Development Corporation Ltd. [NHIDCL],5281.94,60.0,0,0.0
602538,,West Bengal,Damodar Valley Corporation,1106.0,23.0,0,0.0
602579,,Bihar,Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,13756.6,22.0,0,0.0
602582,,Himachal Pradesh,Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,1511.87,16.0,0,0.0
602593,,Himachal Pradesh,Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,3584.53,43.0,0,0.0
602633,,Himachal Pradesh,Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,2615.0,107.0,0,0.0
602792,,Chhattisgarh,SECR,1171.0,9.0,0,0.0
602797,,Multi-States (Uttar,Eastern Railway [ER] - I,,,0,
602961,,Odisha,National Thermal Power Corporation [NTPC],12543.0,10.0,0,0.0
603210,,(-) (-),National Industrial Corridor Development Corporation,921.66,30.0,0,0.0
603293,,Jharkhand,National Thermal Power Corporation [NTPC],784.0,-356.0,0,0.0
603945,,Odisha,Water Resources-OR,2990.05,66.0,0,0.0
604791,,Assam,Ministry of Petroleum & Natural Gas,22494.0,17.0,0,0.0
604792,,Assam,Ministry of Petroleum & Natural Gas,4200.0,46.0,0,0.0
604795,,Tamil Nadu,Chennai Petroleum Corporation Limited [CPCL],36354.0,40.0,0,0.0
604833,,Maharashtra,Ministry of Petroleum & Natural Gas,389.67,13.0,0,0.0
604852,,Uttar Pradesh,Ministry of Petroleum & Natural Gas,980.45,0.0,0,0.0
604853,,Haryana,Ministry of Petroleum & Natural Gas,3200.0,39.0,0,0.0
604859,,Odisha,Ministry of Petroleum & Natural Gas,11783.0,31.0,0,0.0
604863,,Assam,Ministry of Petroleum & Natural Gas,726.93,70.0,0,0.0
605155,,Jammu and,National Highways & Infrastructure Development Corporation Ltd. [NHIDCL],4526.12,54.0,0,0.0
605156,,Sikkim,National Highways & Infrastructure Development Corporation Ltd. [NHIDCL],1828.11,19.0,0,0.0
605292,,Punjab,"Indian intitue of Management, Amritsar",348.31,30.0,0,0.0
606013,,Bihar,NIT Patna,499.21,18.0,0,0.0
606431,,Kerala,INDIAN INSTITUTE OF TECHNOLOGY PALAKKAD,1217.4,53.0,0,0.0
606479,,Uttar Pradesh,Banaras Hindu University,246.0,42.0,0,0.0
606781,,Multi-States,Power Grid Corporation of India Limited [POWERGRID],,,0,
607653,,(-) (-),CAO/C/NR,,,0,
607701,,Assam,Ministry of Petroleum & Natural Gas,577.0,31.0,0,0.0
607709,,Multi-States,Power Grid Corporation of India Limited [POWERGRID],,,0,
608301,,"Multi-States (Delhi,",Power Grid Corporation of India Limited [POWERGRID],359.47,19.0,0,0.0
608302,,Jammu and,Power Grid Corporation of India Limited [POWERGRID],318.12,38.0,0,0.0
608922,,"Multi-States (Delhi,",Power Grid Corporation of India Limited [POWERGRID],,,0,
609019,,West Bengal,"Indian Institute of Technology, Kharagpur",442.0,36.0,0,0.0
609424,,Gujarat,Deendayal Port Trust [DPT],4243.64,36.0,0,0.0
609736,,Sikkim,Sikkim University,314.06,8.0,0,0.0
609996,,Telangana,"Indian Institute of Technology, Hyderabad",262.0,15.0,0,0.0
610315,,Odisha,"Indian Institutes of Science Education and Research, Behrampur",773.76,56.0,0,0.0
610940,,Karnataka,IISC Bangalore,420.41,18.0,0,0.0
610984,,Jharkhand,Oil and Natural Gas Corporation Limited [ONGC],431.0,19.0,0,0.0
610985,,Maharashtra,Ministry of Petroleum & Natural Gas,526.26,24.0,0,0.0
611016,,West Bengal,Ministry of Coal,384.57,60.0,0,0.0
611017,,Jharkhand,Ministry of Coal,334.27,95.0,0,0.0
611047,,Jammu and,Airport Authority of India [AAI],861.37,35.0,0,0.0
611142,,Offshore,Inland Waterways Authority of India [IWAI],197.0,59.0,0,0.0
611440,,Multi-States,Airport Authority of India [AAI],,,0,
611452,,Multi-States,Western Railway,,,0,
611495,,West Bengal,Airport Authority of India [AAI],1549.0,0.0,0,0.0
611509,,Jharkhand,Damodar Valley Corporation,14358.0,52.0,0,0.0
611570,,"Multi-States (Goa,",Airport Authority of India [AAI],,,0,
611586,,Himachal Pradesh,Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,4540.71,8.0,0,0.0
611602,,Tamil Nadu,Airport Authority of India [AAI],1207.0,8.0,0,0.0
611614,,Rajasthan,North Western Railway [NWR],967.06,0.0,1,18.008981305217933
611615,,Andhra Pradesh,South Western Railway [SWR] - II,342.14,1.0,0,0.0
611656,,Gujarat,Power Grid Corporation of India Limited [POWERGRID],1167.0,7.0,0,0.0
611657,,Gujarat,Power Grid Corporation of India Limited [POWERGRID],2820.99,8.0,0,0.0
611659,,Rajasthan,Power Grid Corporation of India Limited [POWERGRID],1433.0,13.0,0,0.0
611660,,Gujarat,Power Grid Corporation of India Limited [POWERGRID],966.79,8.0,0,0.0
611669,,Multi-States,North Eastern Railway [NER],,,0,
611698,,Arunachal Pradesh,North Eastern Electric Power Corporation Limited,1938.85,50.0,0,0.0
611699,,Arunachal Pradesh,North Eastern Electric Power Corporation Limited,1750.07,50.0,0,0.0
611716,,Arunachal Pradesh,North Eastern Electric Power Corporation Limited,8146.21,72.0,0,0.0
611735,,"Multi-States (Delhi,",Power Grid Corporation of India Limited [POWERGRID],331.0,27.0,0,0.0
611737,,Chhattisgarh,Power Grid Corporation of India Limited [POWERGRID],385.84,22.0,0,0.0
611751,,Maharashtra,South Central Railway [SCR] - II,960.64,46.0,0,0.0
611752,,Andhra Pradesh,South Central Railway [SCR] - II,351.83,0.0,0,0.0
611754,,Andhra Pradesh,South Central Railway [SCR] - II,293.3,36.0,0,0.0
611798,,Jharkhand,Hindustan Copper Limited [HCL],2705.0,108.0,0,0.0
611800,,Jharkhand,Hindustan Copper Limited [HCL],665.02,48.0,0,0.0
611849,,Rajasthan,North Western Railway [NWR],969.0,0.0,0,0.0
611855,,Rajasthan,North Western Railway [NWR],968.92,48.0,0,0.0
611861,,Multi-States,North Western Railway [NWR],,,0,
611864,,Jharkhand,Ministry of Coal,4011.85,86.0,0,0.0
611884,,Haryana,North Western Railway [NWR],471.0,0.0,0,0.0
611917,,Haryana,Indian Oil Corporation Limited [IOCL],2531.44,15.0,0,0.0
611918,,Gujarat,PCE/WR,468.0,56.0,0,0.0
611927,,Andhra Pradesh,WPO/Patna,560.72,74.0,0,0.0
611929,,Rajasthan,WPO/Patna,166.86,18.0,0,0.0
611930,,Chhattisgarh,National Thermal Power Corporation [NTPC],15530.0,58.0,0,0.0
611937,,Gujarat,Western Railway [WR] - II,417.53,0.0,0,0.0
611938,,Gujarat,PCE/WR,415.38,0.0,0,0.0
611939,,Gujarat,WR,482.42,300.0,0,0.0
611943,,Gujarat,PCE/WR,410.26,0.0,0,0.0
611944,,Gujarat,PCE/WR,152.44,0.0,0,0.0
611945,,Gujarat,PCE/WR,307.11,0.0,0,0.0
611947,,Rajasthan,Power Grid Corporation of India Limited [POWERGRID],428.3,3.0,0,0.0
611948,,Rajasthan,Power Grid Corporation of India Limited [POWERGRID],2211.29,8.0,0,0.0
611949,,Rajasthan,Power Grid Corporation of India Limited [POWERGRID],1796.02,6.0,0,-35.41274596051269
611950,,Rajasthan,Power Grid Corporation of India Limited [POWERGRID],2190.54,8.0,0,0.0
611951,,Rajasthan,Power Grid Corporation of India Limited [POWERGRID],688.74,7.0,0,0.0
611957,,Madhya Pradesh,"Indian Institute of Technology, Indore",496.28,37.0,0,0.0
611961,,(-) (-),"Indian Institute of Technology, Bhubaneshwar",454.27,30.0,0,0.0
611963,,Uttarakhand,National Institute of Technology Uttarakhand,650.85,41.0,0,0.0
611966,,Maharashtra,Power Grid Corporation of India Limited [POWERGRID],224.41,4.0,0,0.0
611967,,Andhra Pradesh,Power Grid Corporation of India Limited [POWERGRID],1248.69,7.0,0,0.0
611969,,Gujarat,PCE/WR,246.0,38.0,0,0.0
611970,,Gujarat,PCE/WR,670.17,0.0,0,0.0
611971,,Gujarat,PCE/WR,349.93,0.0,0,0.0
611972,,Gujarat,PCE/WR,318.0,44.0,0,0.0
611973,,Gujarat,PCE/WR,450.0,42.0,0,0.0
611974,,Gujarat,PCE/WR,1430.0,40.0,0,0.0
611975,,Maharashtra,PCE/WR,176.0,32.0,0,0.0
611976,,Maharashtra,PCE/WR,221.0,28.0,0,0.0
611977,,Gujarat,PCE/WR,487.0,24.0,0,0.0
611978,,Gujarat,PCE/WR,158.0,24.0,0,0.0
611979,,Gujarat,PCE/WR,250.0,26.0,0,0.0
611980,,Offshore,WR,492.83,0.0,0,0.0
612063,,Uttar Pradesh,Airport Authority of India [AAI],274.38,9.0,1,25.184779633178206
612066,,(-) (-),Jaipur Metro Rail Corporation,,,0,
612068,,(-) (-),Jaipur Metro Rail Corporation,,,0,
612072,,Gujarat,Western Railway,961.67,0.0,0,0.0
612096,,West Bengal,Northeast Frontier Railway [NFR],1209.0,-24.0,0,0.0
612128,,Himachal Pradesh,"Indian Institute of Technology, Mandi",166.66,0.0,0,0.0
612132,,"Multi-States (Delhi,",Power Grid Corporation of India Limited [POWERGRID],2000.0,18.0,0,0.0
612133,,Multi-States,Power Grid Corporation of India Limited [POWERGRID],,,0,
612134,,Rajasthan,Power Grid Corporation of India Limited [POWERGRID],2998.34,3.0,1,58.12082685752783
612135,,Maharashtra,"Indian Institute of Technology, Bombay",182.33,40.0,0,0.0
612138,,Multi-States,Power Grid Corporation of India Limited [POWERGRID],,,0,
612139,,Gujarat,Power Grid Corporation of India Limited [POWERGRID],3751.82,6.0,1,12.771934687698232
612140,,Karnataka,Power Grid Corporation of India Limited [POWERGRID],2889.39,24.0,1,53.83869951789133
612142,,Uttar Pradesh,National Thermal Power Corporation [NTPC],17195.0,71.0,0,0.0
612151,,Gujarat,Power Grid Corporation of India Limited [POWERGRID],334.0,3.0,0,0.0
612167,,Andhra Pradesh,Employee's State Insurance Company [ESIC],384.27,30.0,0,0.0
612178,,Tamil Nadu,Employee's State Insurance Company [ESIC],152.95,27.0,0,0.0
612183,,Bihar,Airport Authority of India [AAI],1413.0,30.0,0,0.0
612185,,Gujarat,Employee's State Insurance Company [ESIC],209.36,51.0,0,0.0
612186,,Gujarat,Employee's State Insurance Company [ESIC],558.12,35.0,0,0.0
612188,,Maharashtra,Employee's State Insurance Company [ESIC],429.25,30.0,0,0.0
612194,,Bihar,Airport Authority of India [AAI],911.66,18.0,0,0.0
612201,,Assam,Employee's State Insurance Company [ESIC],143.23,42.0,0,0.0
612203,,Maharashtra,"Indian Institute of Technology, Bombay",263.93,8.0,1,288.13235294117646
612211,,Gujarat,Employee's State Insurance Company [ESIC],205.87,24.0,0,0.0
612213,,Maharashtra,Employee's State Insurance Company [ESIC],194.93,36.0,0,0.0
612239,,Jammu and Kashmir,Employee's State Insurance Company [ESIC],131.05,33.0,0,0.0
612259,,Uttarakhand,Employee's State Insurance Company [ESIC],102.4,34.0,0,0.0
612513,,Odisha,Employee's State Insurance Company [ESIC],164.6,28.0,0,0.0
612688,,Telangana,Employee's State Insurance Company [ESIC],211.13,32.0,0,0.0
612745,,Karnataka,Employee's State Insurance Company [ESIC],278.0,27.0,0,0.0
612748,,Karnataka,Employee's State Insurance Company [ESIC],150.92,23.0,0,0.0
612781,,West Bengal,Steel Authority of India Limited [SAIL],916.78,36.0,0,0.0
612786,,Andhra Pradesh,Airport Authority of India [AAI],265.91,2.0,0,0.0
612787,,Karnataka,Airport Authority of India [AAI],320.47,2.0,0,0.0
612788,,Karnataka,Airport Authority of India [AAI],322.45,0.0,0,0.0
612789,,Kerala,Airport Authority of India [AAI],484.57,6.0,0,0.0
612790,,Karnataka,Mangalore Refinary and Petrochemicals Limited,385.0,0.0,0,0.0
612791,,West Bengal,Airport Authority of India [AAI],328.3,18.0,0,0.0
612793,,Sikkim,Airport Authority of India [AAI],323.26,26.0,0,0.0
612815,,Chhattisgarh,South East Central Railway [SECR] - II,170.49,34.0,0,0.0
612816,,West Bengal,Eastern Coal Fields Limited [ECL],929.1,75.0,0,0.0
612819,,Rajasthan,NLC India Limited [NLCIL],1813.0,12.0,0,0.0
612827,,Andhra Pradesh,East Coast Railway [ECoR] - II,183.65,35.0,0,0.0
612834,,Odisha,East Coast Railway [ECoR] - II,252.0,32.0,0,0.0
612838,,Gujarat,SECL - CIL,7580.0,98.0,0,0.0
612845,,(-) (-),Central Railway [CR] - II,955.39,30.0,0,0.0
612851,,Delhi,Ministry of Education,333.49,34.0,0,0.0
612853,,Multi-States,Gas Authority of India Limited [GAIL],,,0,
612855,,Gujarat,Power Grid Corporation of India Limited [POWERGRID],679.0,-3.0,1,2.6509572901325478
612856,,Andhra Pradesh,Power Grid Corporation of India Limited [POWERGRID],163.61,2.0,0,0.0
612876,,Mizoram,Ministry of Education,474.23,0.0,0,0.0
612877,,Puducherry,"National Institute of Technology, Puducherry",544.34,8.0,0,0.0
612878,,(-) (-),Bengaluru Metro Rail,,,0,
612883,,Sikkim,Ministry of Education,610.76,-14.0,0,0.0
612885,,Meghalaya,"National Institute of Technology, Meghalaya",494.52,40.0,0,0.0
612894,,Himachal Pradesh,"Central University, Himachal Pradesh",300.45,12.0,0,0.0
612898,,Arunachal Pradesh,"National Institute of Technology, Arunachal Pradesh",592.61,161.0,0,0.0
612916,,Gujarat,Gujarat,490.63,12.0,0,0.0
612998,,Punjab,Ministry of Petroleum and Natural Gas,397.0,15.0,0,0.0
613002,,Tamil Nadu,WR,842.0,41.0,0,0.0
613003,,Chhattisgarh,CERL,1686.26,49.0,0,0.0
613008,,Andhra Pradesh,Central Tribal University of Andhra Pradesh,305.0,42.0,0,0.0
613013,,Nagaland,NIT Nagaland,275.63,159.0,0,0.0
613015,,Maharashtra,Ministry of Railways,1813.0,44.0,0,0.0
613785,,Delhi,Ministry of Railways,4744.0,54.0,0,0.0
613786,,Gujarat,Ministry of Railways,2379.0,52.0,0,0.0
613787,,Uttarakhand,Irrigation-UK,2584.1,74.0,0,0.0
613788,,Assam,Northeast Frontier Railway [NFR],1473.77,,0,-100.0
613793,,West Bengal,Eastern Coal Fields Limited [ECL],483.65,71.0,0,0.0
613794,,West Bengal,Eastern Coal Fields Limited [ECL],389.1,62.0,0,0.0
613795,,Chhattisgarh,SECL - CIL,278.64,3.0,0,0.0
613798,,Chhattisgarh,South Eastern Coalfields Limited [SECL],335.97,133.0,0,0.0
613799,,Chhattisgarh,South Eastern Coalfields Limited [SECL],316.11,128.0,0,0.0
613800,,Chhattisgarh,South Eastern Coalfields Limited [SECL],459.49,12.0,0,0.0
613801,,Chhattisgarh,South Eastern Coalfields Limited [SECL],410.26,94.0,0,0.0
613802,,Madhya Pradesh,South Eastern Coalfields Limited [SECL],371.04,135.0,0,0.0
613803,,Madhya Pradesh,South Eastern Coalfields Limited [SECL],366.94,26.0,0,0.0
613804,,Madhya Pradesh,WCL - CIL,314.09,63.0,0,0.0
613808,,Jharkhand,Ministry of Coal,339.87,152.0,0,0.0
615183,,Multi-States,Northern Coalfields Limited [NCL],,,0,
615184,,Maharashtra,Western Coalfields Limited [WCL],228.64,74.0,0,0.0
