project_id,project_name,sector,state,implementing_agency,planned_start_date,planned_completion_date,actual_start_date,approved_cost,revised_cost,current_status,report_month,physical_progress,planned_progress,financial_progress,expenditure,monthly_expenditure,contractor_status,milestones_completed,milestones_total,milestones_overdue,planned_duration_months,report_date,expenditure_ratio,snapshot_id
222253,Amended BharatNet Program - UP (East),,(-) (-),Department of Telecommunications,2023-08-01,,,,5008.0,Newly Added,July_2026,502.0,,100.0,5008.0,,,,,,,2026-07-01,,222253_July_2026
240484,Amended BharatNet Program - AS,,Assam,Department of Telecommunications,2026-03-01,2029-03-01,,832.0,832.0,Newly Added,July_2026,0.0,,10.0,83.16,,,,,,36.0,2026-07-01,0.09995192307692308,240484_July_2026
245986,Jaipur Metro Rail Project Phase 2 (Prahladpura to Todi Mod),,(-) (-),Jaipur Metro Rail Corporation,2026-04-01,,,,13037.66,Newly Added,July_2026,1.79,,100.0,13037.66,,,,,,,2026-07-01,,245986_July_2026
298178,"Meja Thermal Power Project, Stage-II , (3x800 MW)",,(-) (-),National Thermal Power Corporation [NTPC],2026-06-01,,,,38358.0,Newly Added,July_2026,1002.73,,100.0,38358.0,,,,,,,2026-07-01,,298178_July_2026
317725,Amended BharatNet Program - OD,,PAN India,Department of Telecommunications,2026-07-01,2029-07-01,,1713.0,,Newly Added,July_2026,,,0.82,14.0,,,,,,36.0,2026-07-01,0.008172796263864565,317725_July_2026
364934,Stamp Charge Battery No.12 By-product Plant at IISCO Steel Plant,,West Bengal,Steel Authority of India Limited (SAIL,2025-02-01,2028-07-01,,999.46,,Newly Added,July_2026,,,3.6,36.0,,,,,,41.0,2026-07-01,0.036019450503271766,364934_July_2026
400005,Transmission Network Expansion in Gujarat to increase its ATC from ISTS Part B,,Multi-States,Power Grid Corporation of India Limited [POWERGRID],,,,,,Ongoing,July_2025,4546.26,,,,,,,,,,2025-07-01,,400005_July_2025
400005,Transmission Network Expansion in Gujarat to increase its ATC from ISTS Part B,,Multi-States,Power Grid Corporation of India Limited [POWERGRID],,,,,,Ongoing,August_2025,,,,,,,,,,,2025-08-01,,400005_August_2025
400005,Transmission Network Expansion in Gujarat to increase its ATC from ISTS Part B,,Multi-States,Power Grid Corporation of India Limited [POWERGRID],,,,,,Newly Added,September_2025,,,,,,,,,,,2025-09-01,,400005_September_2025
400005,Transmission Network Expansion in Gujarat to increase its ATC from ISTS Part B,,Multi-States,Power Grid Corporation of India Limited [POWERGRID],,,,,,Newly Added,October_2025,,,,,,,,,,,2025-10-01,,400005_October_2025
400005,Transmission Network Expansion in Gujarat to increase its ATC from ISTS Part B,,Multi-States,Power Grid Corporation of India Limited [POWERGRID],,,,,,Newly Added,November_2025,,,,,,,,,,,2025-11-01,,400005_November_2025
400005,Transmission Network Expansion in Gujarat to increase its ATC from ISTS Part B,,Multi-States,Power Grid Corporation of India Limited [POWERGRID],,,,,,Newly Added,December_2025,,,,,,,,,,,2025-12-01,,400005_December_2025
400005,Transmission Network Expansion in Gujarat to increase its ATC from ISTS Part B,,Multi-States,Power Grid Corporation of India Limited [POWERGRID],,,,,,Newly Added,January_2026,,,,,,,,,,,2026-01-01,,400005_January_2026
400005,Transmission Network Expansion in Gujarat to increase its ATC from ISTS Part B,,(N18000337),Power Grid Corporation of India Limited [POWERGRID],,,,,,Newly Added,February_2026,,,,,,,,,,,2026-02-01,,400005_February_2026
400005,Transmission Network Expansion in Gujarat to increase its ATC from ISTS Part B,,(N18000337),Power Grid Corporation of India Limited [POWERGRID],,,,,,Newly Added,March_2026,,,,,,,,,,,2026-03-01,,400005_March_2026
400005,Transmission Network Expansion in Gujarat to increase its ATC from ISTS Part B,,(N18000337) (4690),Power Grid Corporation of India Limited [POWERGRID],,,,,,Newly Added,April2026,,,,,,,,,,,2026-04-01,,400005_April2026
400005,Transmission Network Expansion in Gujarat to increase its ATC from ISTS Part B,,Multi-States (Dadra &,Power Grid Corporation of India Limited [POWERGRID],,,,,,Completed,May2026,100.0,,,,,,,,,,2026-05-01,,400005_May2026
400006,Jharsuguda-Barpali-Sardega Ph II Works- Rail Connectivity for Coal Loading Bulb at Barpali.,,Odisha,South Eastern Railway [SER] - I,2021-10-01,2025-10-01,,808.99,808.99,Newly Added,December_2025,31.0,,62.42,505.01,,,,,,48.0,2025-12-01,0.6242475185107356,400006_December_2025
400006,Jharsuguda-Barpali-Sardega Ph II Works- Rail Connectivity for Coal Loading Bulb at Barpali.,,Odisha,South Eastern Railway [SER] - I,2021-10-01,2025-10-01,,808.99,808.99,Newly Added,January_2026,32.0,,67.11,542.88,,,,,,48.0,2026-01-01,0.6710589747710107,400006_January_2026
400006,Jharsuguda-Barpali-Sardega Ph II Works- Rail Connectivity for Coal Loading Bulb at Barpali.,,(-),South Eastern Railway [SER] - I,2021-10-01,,,,808.99,Newly Added,February_2026,565.72,,100.0,808.99,,,,,,,2026-02-01,,400006_February_2026
400006,Jharsuguda-Barpali-Sardega Ph II Works- Rail Connectivity for Coal Loading Bulb at Barpali.,,(-),South Eastern Railway [SER] - I,2021-10-01,,,,808.99,Newly Added,March_2026,596.45,,100.0,808.99,,,,,,,2026-03-01,,400006_March_2026
400006,Jharsuguda-Barpali-Sardega Ph II Works- Rail Connectivity for Coal Loading Bulb at Barpali.,,(-) (4689),South Eastern Railway [SER] - I,2021-10-01,,,,808.99,Newly Added,April2026,701.15,,100.0,808.99,,,,,,,2026-04-01,,400006_April2026
400006,Jharsuguda-Barpali-Sardega Ph II Works- Rail Connectivity for Coal Loading Bulb at Barpali.,,(-) (4689),South Eastern Railway [SER] - I,2021-10-01,,,,808.99,Newly Added,May2026,743.46,,100.0,808.99,,,,,,,2026-05-01,,400006_May2026
400006,Jharsuguda-Barpali-Sardega Ph II Works- Rail Connectivity for Coal Loading Bulb at Barpali.,,(-) (-),South Eastern Railway [SER] - I,2021-10-01,,,,808.99,Newly Added,June_2026,743.46,,100.0,808.99,,,,,,,2026-06-01,,400006_June_2026
400006,Jharsuguda-Barpali-Sardega Ph II Works- Rail Connectivity for Coal Loading Bulb at Barpali.,,(-) (-),South Eastern Railway [SER] - I,2021-10-01,,,,808.99,Newly Added,July_2026,743.46,,100.0,808.99,,,,,,,2026-07-01,,400006_July_2026
400010,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",,Ladakh,Airport Authority of India [AAI],2021-09-01,2025-10-01,,640.0,427.04,Ongoing,July_2025,15.0,,15.69,67.0,,,,,,49.0,2025-07-01,0.1046875,400010_July_2025
400010,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",,Ladakh,Airport Authority of India [AAI],2018-09-01,2021-09-01,,480.0,640.0,Ongoing,August_2025,71.0,,67.94,434.79,,,,,,36.0,2025-08-01,0.9058125,400010_August_2025
400010,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",,Ladakh,Airport Authority of India [AAI],2018-09-01,2021-09-01,,480.0,640.0,Newly Added,September_2025,71.0,,71.28,456.22,,,,,,36.0,2025-09-01,0.9504583333333334,400010_September_2025
400010,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",,Ladakh,Airport Authority of India [AAI],2018-09-01,2021-09-01,,480.0,640.0,Newly Added,October_2025,77.0,,73.69,471.59,,,,,,36.0,2025-10-01,0.9824791666666666,400010_October_2025
400010,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",,Ladakh,Airport Authority of India [AAI],2018-09-01,2021-09-01,,480.0,640.0,Newly Added,November_2025,78.0,,75.49,483.12,,,,,,36.0,2025-11-01,1.0065,400010_November_2025
400010,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",,Ladakh,Airport Authority of India [AAI],2018-09-01,2021-09-01,,480.0,640.0,Newly Added,December_2025,78.0,,75.72,484.6,,,,,,36.0,2025-12-01,1.0095833333333333,400010_December_2025
400010,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",,Ladakh,Airport Authority of India [AAI],2018-09-01,2021-09-01,,480.0,640.0,Newly Added,January_2026,78.0,,76.91,492.21,,,,,,36.0,2026-01-01,1.0254375,400010_January_2026
400010,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",,(N04000078),Airport Authority of India [AAI],2018-07-01,,,,480.0,Newly Added,February_2026,492.25,,133.33,640.0,,,,,,,2026-02-01,,400010_February_2026
400010,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",,(N04000078),Airport Authority of India [AAI],2018-07-01,,,,480.0,Newly Added,March_2026,501.81,,133.33,640.0,,,,,,,2026-03-01,,400010_March_2026
400010,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",,(N04000078) (4665),Airport Authority of India [AAI],2018-07-01,,,,480.0,Newly Added,April2026,501.81,,133.33,640.0,,,,,,,2026-04-01,,400010_April2026
400010,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",,(N04000078) (4665),Airport Authority of India [AAI],2018-07-01,,,,480.0,Newly Added,May2026,506.13,,133.33,640.0,,,,,,,2026-05-01,,400010_May2026
400010,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",,(-) (-),Airport Authority of India [AAI],2018-07-01,,,,480.0,Newly Added,June_2026,509.41,,133.33,640.0,,,,,,,2026-06-01,,400010_June_2026
400010,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",,(-) (-),Airport Authority of India [AAI],2018-07-01,,,,480.0,Newly Added,July_2026,512.55,,133.33,640.0,,,,,,,2026-07-01,,400010_July_2026
400012,Kandla Gorakhpur LPG Pipeline,,Multi-States,Ministry of Petroleum & Natural Gas,,,,,,Ongoing,July_2025,,,,10088.0,,,,,,,2025-07-01,,400012_July_2025
400012,Kandla Gorakhpur LPG Pipeline,,Multi-States,Ministry of Petroleum & Natural Gas,,,,,,Ongoing,August_2025,10088.0,,,,,,,,,,2025-08-01,,400012_August_2025
400012,Kandla Gorakhpur LPG Pipeline,,Multi-States,Ministry of Petroleum & Natural Gas,,,,,,Newly Added,September_2025,10088.0,,,,,,,,,,2025-09-01,,400012_September_2025
400012,Kandla Gorakhpur LPG Pipeline,,Multi-States,Ministry of Petroleum & Natural Gas,,,,,,Newly Added,October_2025,10088.0,,,,,,,,,,2025-10-01,,400012_October_2025
400012,Kandla Gorakhpur LPG Pipeline,,Multi-States,Ministry of Petroleum & Natural Gas,,,,,,Newly Added,November_2025,10088.0,,,,,,,,,,2025-11-01,,400012_November_2025
400012,Kandla Gorakhpur LPG Pipeline,,Multi-States,Ministry of Petroleum & Natural Gas,,,,,,Newly Added,December_2025,10088.0,,,,,,,,,,2025-12-01,,400012_December_2025
400012,Kandla Gorakhpur LPG Pipeline,,Multi-States,Ministry of Petroleum & Natural Gas,,,,,,Newly Added,January_2026,10088.0,,,,,,,,,,2026-01-01,,400012_January_2026
400012,Kandla Gorakhpur LPG Pipeline,,(-),Ministry of Petroleum & Natural Gas,,,,,,Newly Added,February_2026,,,,,,,,,,,2026-02-01,,400012_February_2026
400012,Kandla Gorakhpur LPG Pipeline,,(-),Ministry of Petroleum & Natural Gas,,,,,,Newly Added,March_2026,,,,,,,,,,,2026-03-01,,400012_March_2026
400012,Kandla Gorakhpur LPG Pipeline,,(-) (4509),Ministry of Petroleum & Natural Gas,,,,,,Newly Added,April2026,,,,,,,,,,,2026-04-01,,400012_April2026
400012,Kandla Gorakhpur LPG Pipeline,,(-) (4509),Ministry of Petroleum & Natural Gas,,,,,,Newly Added,May2026,,,,,,,,,,,2026-05-01,,400012_May2026
400012,Kandla Gorakhpur LPG Pipeline,,(-) (-),Ministry of Petroleum & Natural Gas,,,,,,Newly Added,June_2026,,,,,,,,,,,2026-06-01,,400012_June_2026
400012,Kandla Gorakhpur LPG Pipeline,,(-) (-),Indian Oil Corporation Limited [IOCL],2018-12-01,,,,10088.0,Newly Added,July_2026,8504.21,,100.0,10088.0,,,,,,,2026-07-01,,400012_July_2026
400013,Saturation 4G mobile coverage of Uncovered Villages through USOF,,PAN India,Department of Telecommunications [DoT],2024-06-01,2026-03-01,,30620.0,9291.8,Ongoing,July_2025,733.0,,0.77,72.0,,,,,,21.0,2025-07-01,0.0023514043109079032,400013_July_2025
400013,Saturation 4G mobile coverage of Uncovered Villages through USOF,,PAN India,Department of Telecommunications [DoT],2022-07-01,2024-06-01,,26316.0,30620.0,Ongoing,August_2025,73.0,,31.98,9791.8,,,,,,23.0,2025-08-01,0.37208542331661343,400013_August_2025
400013,Saturation 4G mobile coverage of Uncovered Villages through USOF,,PAN India,Department of Telecommunications [DoT],2022-07-01,2024-06-01,,26316.0,30620.0,Newly Added,September_2025,75.0,,31.98,9791.8,,,,,,23.0,2025-09-01,0.37208542331661343,400013_September_2025
400013,Saturation 4G mobile coverage of Uncovered Villages through USOF,,PAN India,Department of Telecommunications [DoT],2022-07-01,2024-06-01,,26316.0,30620.0,Newly Added,October_2025,76.0,,31.98,9791.8,,,,,,23.0,2025-10-01,0.37208542331661343,400013_October_2025
400013,Saturation 4G mobile coverage of Uncovered Villages through USOF,,PAN India,Department of Telecommunications [DoT],2022-07-01,2024-06-01,,26316.0,30620.0,Newly Added,November_2025,78.0,,31.98,9791.8,,,,,,23.0,2025-11-01,0.37208542331661343,400013_November_2025
400013,Saturation 4G mobile coverage of Uncovered Villages through USOF,,PAN India,Department of Telecommunications [DoT],2022-07-01,2024-06-01,,26316.0,30620.0,Newly Added,December_2025,80.0,,31.98,9791.8,,,,,,23.0,2025-12-01,0.37208542331661343,400013_December_2025
400013,Saturation 4G mobile coverage of Uncovered Villages through USOF,,PAN India,Department of Telecommunications [DoT],2022-07-01,2024-06-01,,26316.0,30620.0,Newly Added,January_2026,82.0,,31.98,9791.8,,,,,,23.0,2026-01-01,0.37208542331661343,400013_January_2026
400013,Saturation 4G mobile coverage of Uncovered Villages through USOF,,(-),Department of Telecommunications [DoT],2022-07-01,,,,26316.0,Newly Added,February_2026,9791.8,,116.36,30620.0,,,,,,,2026-02-01,,400013_February_2026
400013,Saturation 4G mobile coverage of Uncovered Villages through USOF,,(-),Department of Telecommunications [DoT],2022-07-01,,,,26316.0,Newly Added,March_2026,9791.8,,116.36,30620.0,,,,,,,2026-03-01,,400013_March_2026
400013,Saturation 4G mobile coverage of Uncovered Villages through USOF,,(-) (4599),Department of Telecommunications [DoT],2022-07-01,,,,26316.0,Newly Added,April2026,9791.8,,116.36,30620.0,,,,,,,2026-04-01,,400013_April2026
400013,Saturation 4G mobile coverage of Uncovered Villages through USOF,,(-) (4599),Department of Telecommunications [DoT],2022-07-01,,,,26316.0,Newly Added,May2026,9791.8,,58.49,15392.8,,,,,,,2026-05-01,,400013_May2026
400013,Saturation 4G mobile coverage of Uncovered Villages through USOF,,(-) (-),Department of Telecommunications [DoT],2022-07-01,,,,26316.0,Newly Added,June_2026,8553.1,,58.49,15392.8,,,,,,,2026-06-01,,400013_June_2026
400013,Saturation 4G mobile coverage of Uncovered Villages through USOF,,(-) (-),Department of Telecommunications [DoT],2022-07-01,,,,26316.0,Newly Added,July_2026,8722.82,,58.49,15392.84,,,,,,,2026-07-01,,400013_July_2026
400018,HURA C OCP,,Jharkhand,ECL - CIL,2029-03-01,,,859.41,450.47,Ongoing,July_2025,47.0,,13.76,62.0,,,,,,,2025-07-01,0.07214251637751481,400018_July_2025
400018,HURA C OCP,,Jharkhand,ECL - CIL,2022-08-01,2029-03-01,,859.41,859.41,Ongoing,August_2025,62.0,,52.45,450.76,,,,,,79.0,2025-08-01,0.5244993658440092,400018_August_2025
400018,HURA C OCP,,Jharkhand,ECL - CIL,2022-08-01,2029-03-01,,859.41,859.41,Newly Added,September_2025,62.0,,52.55,451.61,,,,,,79.0,2025-09-01,0.5254884164717656,400018_September_2025
400018,HURA C OCP,,Jharkhand,ECL - CIL,2022-08-01,2029-03-01,,859.41,859.41,Newly Added,October_2025,62.0,,52.55,451.62,,,,,,79.0,2025-10-01,0.5255000523615039,400018_October_2025
400018,HURA C OCP,,Jharkhand,ECL - CIL,2022-08-01,2029-03-01,,859.41,859.41,Newly Added,November_2025,62.0,,52.59,451.93,,,,,,79.0,2025-11-01,0.5258607649433914,400018_November_2025
400018,HURA C OCP,,Jharkhand,ECL - CIL,2022-08-01,2029-03-01,,859.41,859.41,Newly Added,December_2025,62.0,,52.71,453.0,,,,,,79.0,2025-12-01,0.5271058051453905,400018_December_2025
400018,HURA C OCP,,Jharkhand,ECL - CIL,2022-08-01,2029-03-01,,859.41,859.41,Newly Added,January_2026,63.0,,52.91,454.68,,,,,,79.0,2026-01-01,0.5290606346214264,400018_January_2026
400018,HURA C OCP,,(N06000275),ECL - CIL,2022-08-01,,,,859.41,Newly Added,February_2026,455.31,,100.0,859.41,,,,,,,2026-02-01,,400018_February_2026
400018,HURA C OCP,,(N06000275),ECL - CIL,2022-08-01,,,,859.41,Newly Added,March_2026,455.31,,100.0,859.41,,,,,,,2026-03-01,,400018_March_2026
400018,HURA C OCP,,(N06000275) (4585),ECL - CIL,2022-08-01,,,,859.41,Newly Added,April2026,455.25,,100.0,859.41,,,,,,,2026-04-01,,400018_April2026
400018,HURA C OCP,,(N06000275) (4585),ECL - CIL,2022-08-01,,,,859.41,Newly Added,May2026,455.25,,100.0,859.41,,,,,,,2026-05-01,,400018_May2026
400018,HURA C OCP,,(-) (-),ECL - CIL,2022-08-01,,,,859.41,Newly Added,June_2026,455.95,,100.0,859.41,,,,,,,2026-06-01,,400018_June_2026
400018,HURA C OCP,,(-) (-),Eastern Coal Fields Limited [ECL],2022-08-01,,,,859.41,Newly Added,July_2026,455.95,,100.0,859.41,,,,,,,2026-07-01,,400018_July_2026
400019,DHULE [BORVIHIR] - NARDANA NEW LINE [50.60 KMS],,Maharashtra,CR,2026-12-01,2027-09-01,,1171.0,234.48,Ongoing,July_2025,549.0,,3.84,9.0,,,,,,9.0,2025-07-01,0.007685738684884714,400019_July_2025
400019,DHULE [BORVIHIR] - NARDANA NEW LINE [50.60 KMS],,Maharashtra,CR,2023-04-01,2026-12-01,,492.76,1170.83,Ongoing,August_2025,16.0,,20.93,245.11,,,,,,44.0,2025-08-01,0.49742268041237114,400019_August_2025
400019,DHULE [BORVIHIR] - NARDANA NEW LINE [50.60 KMS],,Maharashtra,Central Railway (CR) - II,2023-04-01,2026-12-01,,492.76,1170.83,Newly Added,September_2025,16.0,,21.89,256.28,,,,,,44.0,2025-09-01,0.5200909164704927,400019_September_2025
400019,DHULE [BORVIHIR] - NARDANA NEW LINE [50.60 KMS],,Maharashtra,Central Railway,2023-04-01,2026-12-01,,492.76,1170.83,Newly Added,October_2025,16.0,,23.65,276.86,,,,,,44.0,2025-10-01,0.5618556701030928,400019_October_2025
400019,DHULE [BORVIHIR] - NARDANA NEW LINE [50.60 KMS],,Maharashtra,Central Railway,2023-04-01,2026-12-01,,492.76,1170.83,Newly Added,November_2025,17.0,,24.6,288.08,,,,,,44.0,2025-11-01,0.5846253754363179,400019_November_2025
400019,DHULE [BORVIHIR] - NARDANA NEW LINE [50.60 KMS],,Maharashtra,Central Railway,2023-04-01,2026-12-01,,492.76,1170.83,Newly Added,December_2025,25.0,,35.49,415.47,,,,,,44.0,2025-12-01,0.8431487945450118,400019_December_2025
400019,DHULE [BORVIHIR] - NARDANA NEW LINE [50.60 KMS],,Maharashtra,Central Railway,2023-04-01,2026-12-01,,492.76,1170.83,Newly Added,January_2026,25.0,,37.64,440.73,,,,,,44.0,2026-01-01,0.8944110723272993,400019_January_2026
400019,DHULE [BORVIHIR] - NARDANA NEW LINE [50.60 KMS],,(N22000514),Central Railway,2019-01-01,,,,492.76,Newly Added,February_2026,476.12,,237.61,1170.83,,,,,,,2026-02-01,,400019_February_2026
